Decatur,,,,,,,,,,,,
January 2014 - December 2014,,,,,,,,,,,,
Report Date: 11/21/2019 14:36 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Decatur,"ALL-WEATHER GOLF, INC.",120701396,5,784516.27,727909.2,56607.07,251494,194886.93,56607.07,16982.19,14151.83,2830.36
Decatur,"ANC Rainbow, Inc.",120710858,5,3136781.04,2850905.66,285875.38,989351,703475.6,285875.4,85762.98,71469.16,14293.82
Decatur,Applezaks Incorporated,140700107,5,921695.82,843339.08,78356.74,425812,347455.26,78356.74,23507.28,19589.43,3917.85
Decatur,"Benny's Grill of Decatur, Inc.",130701412,5,3432135.04,3167993.18,264141.86,1078715,814573.09,264141.91,79243.19,66036.02,13207.17
Decatur,"Bigler's Curve, Inc.",120708323,5,4385903.01,4055258.68,330644.33,1195119,864476.82,330642.18,99193.22,82661.04,16532.18
Decatur,"Bink, Inc.",120700343,5,8521480.65,7902289.36,619191.29,2583745,1964553.56,619191.44,185758.06,154798.4,30959.66
Decatur,Bowler 299 Inc.,120704521,5,6539040.09,6067317.17,471722.92,2034814,1563091.08,471722.92,141517.51,117931.3,23586.21
Decatur,BURL ENTERPRIZES INC.,120707132,3,1346114.56,1249050.36,97064.2,400197,303132.91,97064.09,29119.6,24266.34,4853.26
Decatur,"Castle Williams Post No. 105, The American Legion",120908458,4,1202059.25,1115494.69,86564.56,348960,262395.44,86564.56,25969.72,21641.48,4328.24
Decatur,Columbus Club of Decatur,120709294,4,1664398.18,1532351.81,132046.37,558684,426637.63,132046.37,39614.36,33011.97,6602.39
Decatur,"Dale & Jackie's Discount Liquors, Inc.",120707316,5,3454527.51,3138160.97,316366.54,1070072,753704.61,316367.39,94910.85,79092.41,15818.44
Decatur,"Decatur Eleventh Frame Lounge, Inc.",120707303,5,7070617.06,6499723.89,570893.17,2245708,1674814.58,570893.42,171268.46,142723.72,28544.74
Decatur,DECATUR LODGE #684 LOYAL ORDER OF MOOSE INC.,120807140,5,2856469.5,2659466.84,197002.66,772522,575519.34,197002.66,59101.85,49251.56,9850.29
Decatur,Decatur R.C.E. Inc. ,120701460,5,2761590.44,2561977.57,199612.87,737974,538361.13,199612.87,59884.46,49903.75,9980.71
Decatur,"Donnie's Homespun Pizza, Inc.",130705253,3,104403.05,93099.04,11304.01,35168,23863.9,11304.1,3391.41,2826.2,565.21
Decatur,"ELMER'S TAVERN, INC.",120707311,5,5075993.45,4687594.8,388398.65,1358161,969762.35,388398.65,116520.2,97100.17,19420.03
Decatur,Happywood Inc.,120704532,5,8304896.14,7731010.95,573885.19,2697558,2123672.81,573885.19,172166.36,143471.98,28694.38
Decatur,Happywood Inc.,130705058,5,0,0,0,0,0,0,0,0,0
Decatur,"Il Forno, Inc.",130700199,5,764283.14,692379.96,71903.18,249849,177945.82,71903.18,21571,17975.83,3595.17
Decatur,"INDUSTRIAL WORKERS BUILDING ASSOCIATION, INC.",120705011,5,1925349.35,1764864.27,160485.08,586494,426008.9,160485.1,48146.16,40121.85,8024.31
Decatur,"J&M Family, Fun & Food, Inc.",130702614,5,7444569.91,6868836.47,575733.44,2260794,1685060.56,575733.44,172720.56,143933.82,28786.74
Decatur,Jamiel Inc.,130700745,4,574475.65,528691.1,45784.55,192804,147019.34,45784.66,13735.58,11446.33,2289.25
Decatur,"Just One More, Inc.",120702093,5,5549316.54,5120832.83,428483.71,1691782,1263298.29,428483.71,128545.86,107121.58,21424.28
Decatur,"KBL & K, Inc.",120706645,5,3020641.64,2773076.06,247565.58,978157,730591.37,247565.63,74270.42,61892.03,12378.39
Decatur,KENJO INC.,120711381,5,1500517.47,1372868.36,127649.11,504133,376483.89,127649.11,38295.02,31912.55,6382.47
Decatur,"Lakeview Hospitality, LLC",120709882,3,655135,590454.07,64680.93,198303,133622.17,64680.83,19404.59,16170.52,3234.07
Decatur,"Lincoln Square Tavern, Inc.",120706445,5,1614274.38,1500245.48,114028.9,562243,448214.1,114028.9,34209.05,28507.52,5701.53
Decatur,"LSB One, Inc.",120711243,4,1404073.38,1305836.6,98236.78,480194,381957.33,98236.67,29471.46,24559.54,4911.92
Decatur,MALA LLC,130705805,5,6396624.67,5921472.28,475152.39,1781026,1305873.51,475152.49,142546.41,118788.7,23757.71
Decatur,"Meisenhelter, Inc.",120711242,4,573565.38,533408.75,40156.63,223059,182902.37,40156.63,12047.18,10039.32,2007.86
Decatur,NJ's Place Inc,120707318,5,2448851.21,2252386.67,196464.54,1158591,962126.34,196464.66,58940.04,49116.73,9823.31
Decatur,"OREN L. DAVIS POST NO. 99, VETERANS OF FOREIGN WARS OF THE UNITED STATES, I",120906995,4,1405983.6,1287578.82,118404.78,410452,292046.97,118405.03,35522.24,29601.89,5920.35
Decatur,Pershing Restaurants Inc.,120711484,5,2427638.46,2207256.4,220382.06,695205,474822.94,220382.06,66115.26,55096.08,11019.18
Decatur,Pilot Travel Centers LLC,121009166,5,5885098.86,5393048.18,492050.68,1705267,1213134.66,492132.34,147640.27,123033.59,24606.68
Decatur,Sisters Three LLC,130705750,4,37606.17,33739.11,3867.06,11276,7408.79,3867.21,1160.18,966.81,193.37
Decatur,"SOILL Restaurant Systems, LLC",140701440,5,2439720.96,2265018.29,174702.67,692156,517453.33,174702.67,52411.03,43675.87,8735.16
Decatur,SRKW Inc.,120706388,4,1551848.51,1426367.35,125481.16,482833,357309.44,125523.56,37657.37,31381.15,6276.22
Decatur,STAFF INCORPORATED,130705892,3,737270.36,673275.05,63995.31,236856,172860.69,63995.31,19198.83,15999.04,3199.79
Decatur,"Starship Partners, Inc.",120701319,5,6029561.19,5522267.68,507293.51,1767586,1260289.99,507296.01,152189.56,126824.64,25364.92
Decatur,"Sundown Lounge, Inc.",120704883,5,6311850.94,5778051.58,533799.36,1843062,1309229.11,533832.89,160150.44,133458.72,26691.72
