Decatur,,,,,,,,,,,,
January 2017 - December 2017,,,,,,,,,,,,
Report Date: 11/21/2019 14:38 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Decatur,Achille Foster,160700778,5,3757360.04,3447157.03,310203.01,1433571,1123368,310203,93061.18,77550.99,15510.19
Decatur,"ANC Rainbow, Inc.",120710858,5,3588920.65,3294888.66,294031.99,1186858,892826.05,294031.95,88210.21,73508.5,14701.71
Decatur,Applezaks Incorporated,140700107,5,2974657.35,2750726.29,223931.06,975575,751644.03,223930.97,67179.77,55983.16,11196.61
Decatur,"AUNT BETTY'S BARBEQUE & SPIRITS, LLC",150703124,1,1246551.22,1148152.71,98398.51,447100,348701.45,98398.55,29519.75,24599.79,4919.96
Decatur,BBJT Gaming LLC,160700825,5,7628633.48,7051387.15,577246.33,2466013,1888766.67,577246.33,173174.56,144312.17,28862.39
Decatur,"Benny's Grill of Decatur, Inc.",130701412,5,2919392.34,2689291.38,230100.96,905364,675263.04,230100.96,69030.86,57525.72,11505.14
Decatur,"Bigler's Curve, Inc.",120708323,5,3666015.54,3353498.63,312516.91,1125419,812895.73,312523.27,93757.66,78131.39,15626.27
Decatur,"Bink, Inc.",120700343,5,4580105.83,4203993.1,376112.73,1600072,1223954.27,376117.73,112836.01,94030.01,18806
Decatur,Bowler 299 Inc.,120704521,5,3466562.21,3164973.53,301588.68,1229428,927839.32,301588.68,90477.18,75397.66,15079.52
Decatur,"Buki & Lou Limani, Inc.",160700026,5,4139286.23,3814784.25,324501.98,1447813,1123310.99,324502.01,97350.98,81125.84,16225.14
Decatur,BURL ENTERPRIZES INC.,120707132,4,1797972.73,1659453.22,138519.51,570064,431544.49,138519.51,41556.24,34630.22,6926.02
Decatur,Captains Palace Inc.,150704233,5,3749904.5,3436713.64,313190.86,1350526,1037335.14,313190.86,93957.97,78298.32,15659.65
Decatur,"Castle Williams Post No. 105, The American Legion",120908458,4,1008862.19,927055.16,81807.03,323355,241547.98,81807.02,24542.47,20452.07,4090.4
Decatur,Central Illinois Gaming Inc.,160700119,5,4314197.06,3936289.25,377907.81,1506233,1128325.19,377907.81,113372.85,94477.41,18895.44
Decatur,"CHAMPAIGN RENTALS, LLC",150700722,5,1132311.72,1043934.45,88377.27,402545,314159.83,88385.17,26515.51,22096.26,4419.25
Decatur,Columbus Club of Decatur,120709294,5,1745192.05,1595275.76,149916.29,554736,404819.93,149916.07,44975.26,37479.4,7495.86
Decatur,"Corner Gas Station, LLC",170700065,5,1547176.85,1430178.24,116998.61,500845,383846.37,116998.63,35100,29250.01,5849.99
