Decatur,,,,,,,,,,,,
January 2017 - December 2017,,,,,,,,,,,,
Report Date: 11/21/2019 14:38 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Decatur,"Dale & Jackie's Discount Liquors, Inc.",120707316,5,5243560.61,4848764.42,394796.19,1704359,1309561.73,394797.27,118439.52,98699.62,19739.9
Decatur,"DC HOLDINGS, LLC",150703820,5,4437615.03,4016933.03,420682,1520579,1099897,420682,126205.27,105171.09,21034.18
Decatur,"Decatur Eleventh Frame Lounge, Inc.",120707303,5,3862004.49,3548097.57,313906.92,1390330,1076423.08,313906.92,94172.7,78477.28,15695.42
Decatur,Decatur R.C.E. Inc. ,120701460,5,2164440.5,2001254.07,163186.43,767673,604486.66,163186.34,48956.38,40797.02,8159.36
Decatur,Dos Alacranes Inc.,150704186,5,1518899.88,1403936.61,114963.27,506188,391224.88,114963.12,34489.42,28741.19,5748.23
Decatur,Elmer's Ole Time Inn Corp.,160702288,4,1437225.11,1329116.32,108108.79,444336,336227.21,108108.79,32433.25,27027.73,5405.52
Decatur,"ELMER'S TAVERN, INC.",120707311,5,4996765.74,4589992,406773.74,1732451,1325677.36,406773.64,122032.74,101693.98,20338.76
Decatur,"Fraternal Order of Eagles, Decatur Aerie # 507",150802918,3,552017.89,503891.97,48125.92,202202,154076.03,48125.97,14438.09,12031.75,2406.34
Decatur,Happywood Inc.,120704532,5,5460123.07,5084760.02,375363.05,1755664,1380300.95,375363.05,112609.41,93841.2,18768.21
Decatur,Heather Cox,150702073,5,2155180.62,1989123.44,166057.18,700297,534226.17,166070.83,49821.85,41518.2,8303.65
Decatur,"Il Forno, Inc.",130700199,5,1274719.59,1173271.44,101448.15,399593,298144.87,101448.13,30434.81,25362.36,5072.45
Decatur,"ISLAMOSKI & FAMILY, LLC",160700117,5,6490591.83,5888846.8,601745.03,2029267,1427526.93,601740.07,180522.67,150435.6,30087.07
Decatur,"J&M Family, Fun & Food, Inc.",130702614,5,6997834.5,6439211.9,558622.6,2328587,1769964.3,558622.7,167587.64,139656.39,27931.25
Decatur,"Just One More, Inc.",120702093,5,4029716.76,3660913.18,368803.58,1279578,910774.42,368803.58,110641.9,92201.6,18440.3
Decatur,KENJO INC.,120711381,5,1756406.07,1616105.37,140300.7,582755,442454.27,140300.73,42090.83,35075.71,7015.12
Decatur,LACEY'S PLACE LLC,150702345,5,4716728.39,4269369.11,447359.28,1618177,1170815.59,447361.41,134209.15,111840.96,22368.19
Decatur,Lacey's Place LLC Series Decatur,160702420,5,2336140.49,2139047.06,197093.43,822839,625745.57,197093.43,59128.41,49273.69,9854.72
Decatur,"Lakeview Hospitality, LLC",120709882,3,700193.92,645676.17,54517.75,216742,162224.34,54517.66,16355.6,13629.69,2725.91
Decatur,"LEA STUKINS, INC.",150702370,3,165448.72,151145.9,14302.82,58471,44168.13,14302.87,4291.01,3575.85,715.16
Decatur,"Lincoln Square Tavern, Inc.",120706445,5,2945234.1,2709907.06,235327.04,1013772,778444.96,235327.04,70598.64,58832.21,11766.43
Decatur,"Locals 101 Bar & Grille, Inc.",150704325,4,142118.79,130388.16,11730.63,60377,48646.37,11730.63,3519.4,2932.85,586.55
Decatur,Los Sauces Bar & Grill Incorporated,150703736,5,1411712.08,1285936.95,125775.13,521291,395515.87,125775.13,37733,31444.2,6288.8
Decatur,"LSB One, Inc.",120711243,5,1951523.55,1787747.02,163776.53,732973,569171.39,163801.61,49141.01,40950.85,8190.16
Decatur,"LUCKY ME, LLC",160702474,5,4563935.29,4178000.79,385934.5,1482996,1097041.3,385954.7,115786.87,96489.08,19297.79
Decatur,"LUNA NUEVA, INC.",150703362,5,5590568.82,5100047.67,490521.15,1814266,1323744.8,490521.2,147157.05,122630.91,24526.14
Decatur,"MAIN OAK CAFE, L.L.C.",150702371,4,1064408.83,983501.25,80907.58,369490,288582.39,80907.61,24272.6,20227.19,4045.41
Decatur,"Main Street Video Gaming, Inc.",160701077,5,5784231.14,5325429.77,458801.37,1884380,1425578.63,458801.37,137641.11,114700.92,22940.19
Decatur,MALA LLC,130705805,5,7970114.38,7428294.11,541820.27,2764889,2223068.73,541820.27,162546.36,135455.31,27091.05
Decatur,MALA LLC,150702070,5,6150164.37,5689399.03,460765.34,2008290,1547524.6,460765.4,138230.08,115191.76,23038.32
Decatur,MALA LLC,170700158,5,3443868.96,3169375.22,274493.74,1155512,881018.26,274493.74,82348.46,68623.73,13724.73
Decatur,MISS KIMMEES LLC,160701008,5,7077769.68,6452947.1,624822.58,2179237,1554414.42,624822.58,187447.53,156206.27,31241.26
Decatur,"Mutti's, Inc.",140703569,4,631727.63,575606.51,56121.12,241274,185153.03,56120.97,16836.4,14030.33,2806.07
Decatur,"Nash Entertainment Inc.,",160701534,4,618947.36,556020.1,62927.26,214746,151818.88,62927.12,18878.39,15732,3146.39
Decatur,"NELLIE'S LOUNGE, INC.",140704418,5,3621284.31,3371394.86,249889.45,1036313,786423.55,249889.45,74967.64,62473.04,12494.6
Decatur,NJ's Place Inc,120707318,4,2481097.57,2277004.47,204093.1,1094869,890763.9,204105.1,61232.08,51026.74,10205.34
Decatur,"NOAH'S AND ASSOCIATES, LLC",150702710,2,271191.48,249252.87,21938.61,84110,62171.49,21938.51,6581.72,5484.78,1096.94
Decatur,"Oren L. Davis Post No. 99, Veterans of Foreign Wars of the United States, Inc.",160901275,5,2536778.9,2330681.38,206097.52,841247,635148.43,206098.57,61830.27,51525.23,10305.04
Decatur,"Pearl's Entertainment Group, LLC",160703385,5,5120949.57,4715379.91,405569.66,1588639,1183069.34,405569.66,121671.5,101392.95,20278.55
Decatur,Pershing Restaurants Inc.,120711484,5,1969417.64,1782589,186828.64,704796,517967.36,186828.64,56049.25,46707.72,9341.53
Decatur,Pilot Travel Centers LLC,121009166,5,11155812,10253853.19,901958.81,3512693,2610972.77,901720.23,270516.64,225430.55,45086.09
Decatur,"SHAHD, INC.",170701684,5,565658.68,525991.31,39667.37,212302,172634.63,39667.37,11900.36,9916.97,1983.39
Decatur,"SOILL Restaurant Systems, LLC",140701440,5,8894869.01,8217268.37,677600.64,2639179,1961578.36,677600.64,203280.62,169400.54,33880.08
Decatur,"SOILL Restaurant Systems, LLC",140703929,5,9893453.08,9147821.94,745631.14,3043196,2297564.86,745631.14,223690.08,186408.44,37281.64
Decatur,"SOILL Restaurant Systems, LLC",160700128,5,6852987.5,6346330.61,506656.89,2181891,1675234.37,506656.63,151997.66,126664.72,25332.94
Decatur,SRKW Inc.,120706388,5,1465139.27,1349651.84,115487.43,492739,377251.42,115487.58,34646.71,28872.26,5774.45
Decatur,STAFF INCORPORATED,130705892,4,1167306.53,1062633.8,104672.73,371315,266642.27,104672.73,31402.03,26168.38,5233.65
Decatur,"Starship Partners, Inc.",120701319,5,3857760.82,3561900.08,295860.74,1323780,1027919.26,295860.74,88758.88,73965.76,14793.12
Decatur,"Sundown Lounge, Inc.",120704883,5,5105574.73,4707232.46,398342.27,1625856,1227513.73,398342.27,119503.46,99586.24,19917.22
Decatur,T&G GAMING LLC,150702672,5,7640066.54,6987284.37,652782.17,2330646,1677863.81,652782.19,195835.28,163196.11,32639.17
Decatur,T&G GAMING LLC,150702680,5,3015993.16,2758838.75,257154.41,1118104,860949.59,257154.41,77146.67,64288.93,12857.74
Decatur,T&G GAMING LLC,150702685,5,8194217.97,7516083.65,678134.32,2545845,1867710.68,678134.32,203440.83,169534.03,33906.8
Decatur,T&G GAMING LLC,160701447,5,3228571.34,2946162.41,282408.93,1018123,735714.07,282408.93,84723.16,70602.64,14120.52
Decatur,T&G Gaming LLC,160702672,5,4731070.31,4311539.2,419531.11,1515344,1095812.89,419531.11,125860.05,104883.39,20976.66
Decatur,THE GARDEN FAMILY RESTAURANT LLP,150702416,5,1868956.76,1702794.88,166161.88,612869,446707.12,166161.88,49849.09,41540.91,8308.18
Decatur,Timbuktu Saloon Inc.,150704284,5,2975977.85,2753979.88,221997.97,921072,699073.68,221998.32,66600.16,55500.17,11099.99
Decatur,"TMEE ENTERPRISES, INC.",160700576,4,200177.85,184322.13,15855.72,79182,63326.41,15855.59,4756.74,3963.96,792.78
Decatur,"Tony Hsiao's, Inc.",130705821,5,1929598.37,1811213.45,118384.92,574336,455951.08,118384.92,35515.92,29596.64,5919.28
Decatur,"TOSS UP 8 INC.,",170702621,5,47160.99,41819.83,5341.16,17683,12341.84,5341.16,1602.36,1335.31,267.05
Decatur,"Trident Partners Decatur Airport Plaza, LLC",140702535,5,9224535.61,8472271.33,752264.28,2848512,2096244.73,752267.27,225680.88,188067.42,37613.46
Decatur,"Trident Partners Decatur Brettwood Village, LLC",140702537,5,8595483.59,7937559.26,657924.33,2587110,1929185.67,657924.33,197378.17,164481.83,32896.34
Decatur,"Trident Partners Decatur Crossings, LLC",140703997,5,7763640.76,7155589.08,608051.68,2442435,1834383.32,608051.68,182416.34,152013.62,30402.72
Decatur,"Van Dyke Video Gaming, Inc",150703967,5,6713180.1,6171768,541412.1,2148803,1607390.9,541412.1,162424.36,135353.66,27070.7
Decatur,"Variety Liquors, Inc.",120708465,5,5459938.83,5007945.16,451993.67,1691916,1239922.33,451993.67,135598.59,112998.83,22599.76
Decatur,"Ware Brands, Inc. ",150700089,5,9770405.07,8996928.81,773476.26,2997685,2224208.64,773476.36,232043.53,193369.63,38673.9
Decatur,"Whit's of Decatur, Inc.",120711444,5,3011758.91,2788274.76,223484.15,928939,705454.85,223484.15,67045.77,55871.5,11174.27
Decatur,Wild Dog Saloon Incorporated,120705737,5,2815403.84,2617745.5,197658.34,886008,688349.66,197658.34,59298,49415.02,9882.98
Decatur,"Winery One, Inc.",120711244,5,4070602.55,3757204.24,313398.31,1400548,1087149.8,313398.2,94020.01,78350.02,15669.99
Decatur,ZANNIE SPATES,170702160,5,1414069.86,1299413.33,114656.53,472532,357875.47,114656.53,34396.98,28664.16,5732.82
Decatur,Zejna Islamoski & Lavdrime Islamoski ,120707211,5,2760588.28,2536181.2,224407.08,938130,713722.9,224407.1,67322.78,56102.33,11220.45
