Decatur,,,,,,,,,,,,
January 2015 - December 2015,,,,,,,,,,,,
Report Date: 11/21/2019 14:36 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Decatur,"ANC Rainbow, Inc.",120710858,5,3744375.57,3433256.92,311118.65,1176309,865190.35,311118.65,93335.98,77780.01,15555.97
Decatur,Applezaks Incorporated,140700107,5,3254089.38,2967105.99,286983.39,1101713,814729.61,286983.39,86095.4,71746.17,14349.23
Decatur,"AUNT BETTY'S BARBEQUE & SPIRITS, LLC",150703124,5,349211.77,318359.68,30852.09,125623,94770.91,30852.09,9255.67,7713.06,1542.61
Decatur,"Benny's Grill of Decatur, Inc.",130701412,5,3478321.37,3209655.47,268665.9,1141626,872960.14,268665.86,80600.31,67166.93,13433.38
Decatur,"Bigler's Curve, Inc.",120708323,5,6694894.31,6190435.18,504459.13,1922711,1418251.87,504459.13,151338.56,126115.51,25223.05
Decatur,"Bink, Inc.",120700343,5,7895753.02,7280059.45,615693.57,2490418,1874719.37,615698.63,184709.89,153924.95,30784.94
Decatur,Bowler 299 Inc.,120704521,5,5221379.67,4811672.69,409706.98,1680543,1270836.02,409706.98,122912.72,102427.29,20485.43
Decatur,BURL ENTERPRIZES INC.,120707132,3,1342903.9,1239513.84,103390.06,413256,309865.94,103390.06,31017.36,25847.84,5169.52
Decatur,"Castle Williams Post No. 105, The American Legion",120908458,4,1161120.18,1075397.71,85722.47,355126,269403.53,85722.47,25717.16,21430.98,4286.18
Decatur,"CHAMPAIGN RENTALS, LLC",150700722,5,2078792.39,1902833.7,175958.69,725067,549108.31,175958.69,52787.91,43989.94,8797.97
Decatur,Columbus Club of Decatur,120709294,5,2413491.45,2249027.53,164463.92,819786,655321.57,164464.43,49339.92,41116.59,8223.33
Decatur,"Dale & Jackie's Discount Liquors, Inc.",120707316,5,5237808.02,4802839.12,434968.9,1678847,1243858.45,434988.55,130497.25,108747.72,21749.53
Decatur,"Decatur Eleventh Frame Lounge, Inc.",120707303,5,6850375.11,6272873.25,577501.86,2286804,1709302.14,577501.86,173251.23,144376.03,28875.2
Decatur,DECATUR LODGE #684 LOYAL ORDER OF MOOSE INC.,120807140,5,1848496.2,1700618.64,147877.56,548139,400261.44,147877.56,44363.7,36969.76,7393.94
Decatur,Decatur R.C.E. Inc. ,120701460,5,2526978.82,2318219.79,208759.03,741231,532471.69,208759.31,62628.53,52190.49,10438.04
Decatur,"Donnie's Homespun Pizza, Inc.",130705253,2,173692.88,155600.78,18092.1,60363,42270.99,18092.01,5427.89,4523.23,904.66
Decatur,"ELMER'S TAVERN, INC.",120707311,5,6918593.65,6372928.65,545665,1873798,1328132.95,545665.05,163700.03,136416.73,27283.3
Decatur,Happywood Inc.,120704532,5,6645780.87,6138721.63,507059.24,2206149,1699089.46,507059.54,152118.58,126765.52,25353.06
Decatur,Heather Cox,150702073,5,1281795.36,1176344.3,105451.06,394381,288929.94,105451.06,31635.34,26362.78,5272.56
Decatur,"Il Forno, Inc.",130700199,5,2466280.01,2256693.9,209586.11,816454,606867.89,209586.11,62876.35,52396.99,10479.36
Decatur,"INDUSTRIAL WORKERS BUILDING ASSOCIATION, INC.",120705011,5,1805488.8,1661221.78,144267.02,575211,430936.84,144274.16,43282.86,36069.09,7213.77
Decatur,"J&M Family, Fun & Food, Inc.",130702614,5,9113310.85,8403928.01,709382.84,2849611,2140228.16,709382.84,212815.49,177346.28,35469.21
Decatur,"Just One More, Inc.",120702093,5,5633694.86,5181210.31,452484.55,1649317,1196832.45,452484.55,135745.83,113121.54,22624.29
Decatur,"KBL & K, Inc.",120706645,5,1909633.16,1738732.45,170900.71,710561,539660.34,170900.66,51270.88,42725.77,8545.11
Decatur,KENJO INC.,120711381,5,3038948.42,2809484.58,229463.84,978777,749313.12,229463.88,68839.49,57366.23,11473.26
Decatur,LACEY'S PLACE LLC,150702345,5,1682949.32,1554393.91,128555.41,548716,420160.59,128555.41,38566.72,32138.94,6427.78
Decatur,"Lakeview Hospitality, LLC",120709882,3,606305.78,547003.94,59301.84,204586,145284.16,59301.84,17791.07,14825.89,2965.18
Decatur,"LEA STUKINS, INC.",150702370,3,65906.95,60537.88,5369.07,24870,19500.83,5369.17,1610.81,1342.34,268.47
Decatur,"Lincoln Square Tavern, Inc.",120706445,5,3118817.29,2895939.13,222878.16,1118639,895760.83,222878.17,66863.61,55719.67,11143.94
Decatur,"LSB One, Inc.",120711243,5,2056519.12,1890687.73,165831.39,722284,556452.23,165831.77,49750.1,41458.43,8291.67
Decatur,"MAIN OAK CAFE, L.L.C.",150702371,4,38035.24,36481.96,1553.28,14143,12589.72,1553.28,466,388.33,77.67
Decatur,MALA LLC,130705805,5,9094862.58,8426537.57,668325.01,2743668,2075342.9,668325.1,200498.16,167081.83,33416.33
Decatur,MALA LLC,150702070,5,1577063.27,1450928.26,126135.01,477122,350986.99,126135.01,37840.62,31533.86,6306.76
Decatur,"Meisenhelter, Inc.",120711242,5,496721.98,465484.73,31237.25,184314,153076.75,31237.25,9371.36,7809.44,1561.92
Decatur,"Mutti's, Inc.",140703569,4,579136.19,531695.04,47441.15,204756,157314.85,47441.15,14232.8,11860.67,2372.13
Decatur,"NELLIE'S LOUNGE, INC.",140704418,5,1775778.11,1638125.2,137652.91,555523,417835.74,137687.26,41306.61,34422.17,6884.44
