Decatur,,,,,,,,,,,,
January 2015 - December 2015,,,,,,,,,,,,
Report Date: 11/21/2019 14:36 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Decatur,NJ's Place Inc,120707318,5,2385245.29,2177440.04,207805.25,1059450,851644.32,207805.68,62342.41,51952.03,10390.38
Decatur,"OREN L. DAVIS POST NO. 99, VETERANS OF FOREIGN WARS OF THE UNITED STATES, I",120906995,4,1925121.68,1774138.03,150983.65,664083,513099.35,150983.65,45295.58,37746.32,7549.26
Decatur,Pershing Restaurants Inc.,120711484,5,3032823.86,2751732.1,281091.76,911617,630525.24,281091.76,84328.08,70273.41,14054.67
Decatur,Pilot Travel Centers LLC,121009166,5,10053284.12,9226832.09,826452.03,3013125,2186725.73,826399.27,247920.54,206600.47,41320.07
Decatur,"SOILL Restaurant Systems, LLC",140701440,5,9912066.5,9193772.2,718294.3,2751047,2032752.7,718294.3,215488.96,179574.13,35914.83
Decatur,"SOILL Restaurant Systems, LLC",140703929,5,7547825.49,6971762.3,576063.19,2124468,1548404.81,576063.19,172819.36,144016.14,28803.22
Decatur,SRKW Inc.,120706388,5,1539678.95,1394374.03,145304.92,491233,345928.08,145304.92,43592.1,36326.77,7265.33
Decatur,STAFF INCORPORATED,130705892,3,1170866.46,1077253.4,93613.06,374877,281263.94,93613.06,28084.04,23403.39,4680.65
Decatur,"Starship Partners, Inc.",120701319,5,4403941.24,4022718.16,381223.08,1398743,1017519.92,381223.08,114367.44,95306.2,19061.24
Decatur,"Sundown Lounge, Inc.",120704883,5,6009994.11,5481937.89,528056.22,1836738,1308681.88,528056.12,158417.55,132014.64,26402.91
Decatur,T&G GAMING LLC,150702672,5,1884184.93,1738902.03,145282.9,537544,392261.1,145282.9,43585.09,36320.92,7264.17
Decatur,T&G GAMING LLC,150702680,5,7503.22,7101.62,401.6,2285,1883.4,401.6,120.49,100.41,20.08
Decatur,T&G GAMING LLC,150702685,5,28521.33,26065.29,2456.04,8497,6040.86,2456.14,736.85,614.04,122.81
Decatur,THE GARDEN FAMILY RESTAURANT LLP,150702416,4,111233.71,101223.38,10010.33,32667,22656.67,10010.33,3003.11,2502.59,500.52
Decatur,"Tony Hsiao's, Inc.",130705821,5,3566398.12,3290271.25,276126.87,1053338,777211.13,276126.87,82838.74,69032.29,13806.45
Decatur,"Trident Partners Decatur Airport Plaza, LLC",140702535,5,13985374.36,12915048.11,1070326.25,3910201,2839874.8,1070326.2,321098.38,267581.99,53516.39
Decatur,"Trident Partners Decatur Brettwood Village, LLC",140702537,5,11218093.65,10345836.17,872257.48,3394513,2522255.46,872257.54,261678.19,218065.17,43613.02
Decatur,"Trident Partners Decatur Crossings, LLC",140703997,5,5925368.51,5437303.04,488065.47,1807189,1319123.53,488065.47,146420.36,122017,24403.36
Decatur,"Variety Liquors, Inc.",120708465,5,6314689.62,5830682,484007.62,1878294,1394286.38,484007.62,145202.73,121002.31,24200.42
Decatur,"Ware Brands, Inc. ",150700089,5,4429920.8,4062040.82,367879.98,1296183,928303.02,367879.98,110364.36,91970.3,18394.06
Decatur,"Whit's of Decatur, Inc.",120711444,5,3898511.07,3567067.9,331443.17,1082530,751086.92,331443.08,99433.46,82861.24,16572.22
Decatur,Wild Dog Bar and Grill Inc.,140702925,3,359257.65,335254.49,24003.16,111330,87326.84,24003.16,7201.1,6000.93,1200.17
Decatur,Wild Dog Saloon Incorporated,120705737,5,3540222.78,3289267.04,250955.74,957409,706453.86,250955.14,75286.94,62739.15,12547.79
Decatur,"Winery One, Inc.",120711244,5,4389357.89,4052193.57,337164.32,1447229,1110063.6,337165.4,101150.15,84291.82,16858.33
Decatur,Zejna Islamoski & Lavdrime Islamoski ,120707211,5,4410769.34,4056521,354248.34,1416248,1061999.68,354248.32,106275.25,88562.71,17712.54
