Decatur,,,,,,,,,,,,
January 2013 - December 2013,,,,,,,,,,,,
Report Date: 11/21/2019 14:35 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Decatur,"ALL-WEATHER GOLF, INC.",120701396,5,2428310.96,2247476.96,180834,690571,509737,180834,54250.29,45208.61,9041.68
Decatur,"ANC Rainbow, Inc.",120710858,5,255819.13,234145.81,21673.32,73919,52245.68,21673.32,6502,5418.35,1083.65
Decatur,"Benny's Grill of Decatur, Inc.",130701412,5,200511.37,189517.51,10993.86,45970,34976.14,10993.86,3298.16,2748.47,549.69
Decatur,"Bigler's Curve, Inc.",120708323,4,1195080.12,1099972.62,95107.5,335274,240164.16,95109.84,28532.98,23777.48,4755.5
Decatur,"Bink, Inc.",120700343,5,7737557.43,7143286.01,594271.42,2304206,1709885.34,594320.66,178296.38,148580.33,29716.05
Decatur,Bowler 299 Inc.,120704521,5,6845895.3,6341215,504680.3,1958943,1454261.15,504681.85,151404.69,126170.57,25234.12
Decatur,BURL ENTERPRIZES INC.,120707132,3,602829.28,554404.99,48424.29,176303,127878.6,48424.4,14527.38,12106.16,2421.22
Decatur,"Castle Williams Post No. 105, The American Legion",120908458,3,398351.33,365320.98,33030.35,115325,82294.65,33030.35,9909.14,8257.64,1651.5
Decatur,"Dale & Jackie's Discount Liquors, Inc.",120707316,5,555742.58,506470.87,49271.71,145183,95911.24,49271.76,14781.53,12317.94,2463.59
Decatur,"Decatur Eleventh Frame Lounge, Inc.",120707303,5,4628362.34,4211384.49,416977.85,1460107,1043108.9,416998.1,125099.57,104249.61,20849.96
Decatur,DECATUR LODGE #684 LOYAL ORDER OF MOOSE INC.,120807140,5,2670885.92,2488230.76,182655.16,767358,584702.84,182655.16,54796.65,45663.9,9132.75
Decatur,Decatur R.C.E. Inc. ,120701460,5,3315736.53,3045731.65,270004.88,866838,596833.12,270004.88,81001.52,67501.29,13500.23
Decatur,"ELMER'S TAVERN, INC.",120707311,5,1290478.29,1194517.24,95961.05,337046,241084.95,95961.05,28788.34,23990.28,4798.06
Decatur,"Evate Management, LLC",120705045,4,92107.47,82035.13,10072.34,32273,22200.66,10072.34,3021.7,2518.08,503.62
Decatur,Happywood Inc.,120704532,5,5805656.65,5414037.57,391619.08,1807860,1416240.92,391619.08,117485.86,97904.89,19580.97
Decatur,"J&M Family, Fun & Food, Inc.",130702614,5,67544.02,61744.81,5799.21,20896,15096.79,5799.21,1739.79,1449.83,289.96
Decatur,"Just One More, Inc.",120702093,5,6809949.92,6269091.85,540858.07,1775991,1235132.93,540858.07,162257.53,135214.6,27042.93
Decatur,"KBL & K, Inc.",120706645,5,3049353.4,2792011.67,257341.73,990501,733159.27,257341.73,77202.66,64335.55,12867.11
Decatur,"Lakeview Hospitality, LLC",120709882,3,266971.54,239439.22,27532.32,80053,52520.58,27532.42,8259.74,6883.12,1376.62
Decatur,"Lincoln Square Tavern, Inc.",120706445,3,810791.12,749503.85,61287.27,269487,208185.23,61301.77,18390.57,15325.48,3065.09
Decatur,"LSB One, Inc.",120711243,4,261021.08,239399.83,21621.25,94520,72898.55,21621.45,6486.47,5405.38,1081.09
Decatur,"Meisenhelter, Inc.",120711242,4,54225.26,51149.86,3075.4,18703,15627.6,3075.4,922.62,768.84,153.78
Decatur,NJ's Place Inc,120707318,5,2065751.63,1894850.9,170900.73,787780,616878.92,170901.08,51270.38,42725.34,8545.04
Decatur,"OREN L. DAVIS POST NO. 99, VETERANS OF FOREIGN WARS OF THE UNITED STATES, I",120906995,4,762283.3,701645.81,60637.49,174722,113933.51,60788.49,18236.6,15197.15,3039.45
Decatur,Pershing Restaurants Inc.,120711484,5,156667.69,139928.91,16738.78,45860,29121.22,16738.78,5021.63,4184.7,836.93
Decatur,SRKW Inc.,120706388,4,932806.3,859788.01,73018.29,281484,208465.71,73018.29,21905.56,18254.63,3650.93
Decatur,"Starship Partners, Inc.",120701319,5,7877044.15,7277035.55,600008.6,2256444,1656435.4,600008.6,180002.74,150002.37,30000.37
Decatur,"Sundown Lounge, Inc.",120704883,5,5482811.3,5031387.89,451423.41,1606410,1154986.59,451423.41,135427.15,112855.97,22571.18
Decatur,"Variety Liquors, Inc.",120708465,5,2227109.46,2070766.65,156342.81,691657,535314.19,156342.81,46902.9,39085.77,7817.13
Decatur,"Whit's of Decatur, Inc.",120711444,5,309654.94,282318.61,27336.33,74510,47173.67,27336.33,8200.91,6834.09,1366.82
Decatur,Wild Dog Saloon Incorporated,120705737,5,3852867.68,3570080.88,282786.8,1020383,737596.2,282786.8,84836.15,70696.78,14139.37
Decatur,"Winery One, Inc.",120711244,4,541151.02,501291.86,39859.16,190034,150174.84,39859.16,11957.78,9964.82,1992.96
