Decatur,,,,,,,,,,,,
January 2016 - December 2016,,,,,,,,,,,,
Report Date: 11/21/2019 14:37 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Decatur,Achille Foster,160700778,5,1124993.02,1024458.49,100534.53,436204,335669.46,100534.54,30160.52,25133.79,5026.73
Decatur,"ANC Rainbow, Inc.",120710858,5,3653137.59,3349442.15,303695.44,1236279,932583.52,303695.48,91109.01,75924.19,15184.82
Decatur,Applezaks Incorporated,140700107,5,3063038.29,2813411.33,249626.96,991391,741763.95,249627.05,74888.58,62407.17,12481.41
Decatur,"AUNT BETTY'S BARBEQUE & SPIRITS, LLC",150703124,5,5120543.41,4730658.89,389884.52,1761997,1372112.3,389884.7,116966.06,97471.74,19494.32
Decatur,BBJT Gaming LLC,160700825,5,4057662.42,3737264.68,320397.74,1363386,1042988.26,320397.74,96119.8,80099.84,16019.96
Decatur,"Benny's Grill of Decatur, Inc.",130701412,5,3212277.9,2972041.62,240236.28,1048092,807855.72,240236.28,72071.12,60059.29,12011.83
Decatur,"Bigler's Curve, Inc.",120708323,5,5020489.33,4604345.73,416143.6,1532312,1116168.15,416143.85,124843.7,104036.43,20807.27
Decatur,"Bink, Inc.",120700343,5,5736655.86,5285265.99,451389.87,1955315,1503925.18,451389.82,135417.49,112847.95,22569.54
Decatur,Bowler 299 Inc.,120704521,5,4031943.91,3716012.19,315931.72,1395833,1079901.28,315931.72,94779.97,78983.33,15796.64
Decatur,"Buki & Lou Limani, Inc.",160700026,5,2568843.64,2359063.31,209780.33,857664,647883.6,209780.4,62934.47,52445.4,10489.07
Decatur,BURL ENTERPRIZES INC.,120707132,3,1587075.73,1454627.71,132448.02,522574,390125.98,132448.02,39734.6,33112.18,6622.42
Decatur,Captains Palace Inc.,150704233,5,2349195.89,2137604.95,211590.94,903483,691892.06,211590.94,63477.7,52898.11,10579.59
Decatur,"Castle Williams Post No. 105, The American Legion",120908458,4,920483.28,853421.91,67061.37,276361,209299.47,67061.53,20118.93,16765.81,3353.12
Decatur,Central Illinois Gaming Inc.,160700119,5,1910385.54,1760963.99,149421.55,637498,488076.45,149421.55,44826.73,37355.62,7471.11
Decatur,"CHAMPAIGN RENTALS, LLC",150700722,5,4644945.94,4284666.82,360279.12,1675592,1315312.73,360279.27,108084.18,90070.17,18014.01
Decatur,Columbus Club of Decatur,120709294,5,2200975.63,2033361.18,167614.45,721367,553752.84,167614.16,50284.92,41904.12,8380.8
Decatur,"Dale & Jackie's Discount Liquors, Inc.",120707316,5,4985220.01,4564850.65,420369.36,1707984,1287614.91,420369.09,126111.44,105092.9,21018.54
Decatur,"DC HOLDINGS, LLC",150703820,5,4783394.82,4407497.2,375897.62,1506866,1130968.38,375897.62,112769.7,93974.77,18794.93
Decatur,"Decatur Eleventh Frame Lounge, Inc.",120707303,5,5041765.63,4649397.94,392367.69,1721208,1328840.3,392367.7,117710.88,98092.4,19618.48
Decatur,DECATUR LODGE #684 LOYAL ORDER OF MOOSE INC.,120807140,4,994088.28,918718.25,75370.03,286776,211361.33,75414.67,22624.77,18854,3770.77
Decatur,Decatur R.C.E. Inc. ,120701460,5,2011756.31,1845031.41,166724.9,642453,475728.24,166724.76,50018.01,41681.68,8336.33
Decatur,"Donnie's Homespun Pizza, Inc.",130705253,2,87620.8,80133.5,7487.3,35286,27798.7,7487.3,2246.27,1871.9,374.37
Decatur,Dos Alacranes Inc.,150704186,5,761891.29,688862.36,73028.93,265577,192547.91,73029.09,21909.26,18257.74,3651.52
Decatur,Elmer's Ole Time Inn Corp.,160702288,4,166432.16,156141.85,10290.31,48629,38338.69,10290.31,3087.16,2572.63,514.53
Decatur,"ELMER'S TAVERN, INC.",120707311,5,6025398.88,5554368.01,471030.87,1983677,1512646.03,471030.97,141309.76,117758.16,23551.6
Decatur,"Fraternal Order of Eagles, Decatur Aerie # 507",150802918,3,687033.92,637986.33,49047.59,201253,152205.4,49047.6,14714.54,12262.14,2452.4
Decatur,Happywood Inc.,120704532,5,4526042.11,4177764.84,348277.27,1533397,1185120.03,348276.97,104483.72,87069.78,17413.94
Decatur,Heather Cox,150702073,5,2920191.04,2662515.53,257675.51,926469,668793.49,257675.51,77303.32,64419.44,12883.88
Decatur,"Il Forno, Inc.",130700199,5,1789587.95,1638511.16,151076.79,576324,425247.19,151076.81,45323.3,37769.46,7553.84
Decatur,"INDUSTRIAL WORKERS BUILDING ASSOCIATION, INC.",120705011,5,414377.43,379988.81,34388.62,134769,100381.12,34387.88,10316.54,8597.12,1719.42
Decatur,"ISLAMOSKI & FAMILY, LLC",160700117,5,4710924.73,4261270.03,449654.7,1472583,1022923.3,449659.7,134898.42,112415.35,22483.07
Decatur,"J&M Family, Fun & Food, Inc.",130702614,5,8056790.3,7480740.08,576050.22,2566517,1990466.68,576050.32,172815.41,144012.86,28802.55
Decatur,"Just One More, Inc.",120702093,5,5452340.62,5023278.95,429061.67,1707685,1278622.67,429062.33,128719.38,107266.18,21453.2
Decatur,"KBL & K, Inc.",120706645,5,709156.76,647311.2,61845.56,267453,205607.44,61845.56,18554.03,15461.7,3092.33
Decatur,KENJO INC.,120711381,5,2273455.87,2091125.97,182329.9,774673,592343.14,182329.86,54699.5,45582.93,9116.57
