"Decatur"
"January 2019 - November 2019"
"Report Date: 12/12/2019 13:46 PM",
"Municipality","Establishment","License Number","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","Net Terminal Income","NTI Tax","State Share","Municipality Share",
"Decatur","Lincoln Square Tavern, Inc.","120706445","5","3046496.4700","2834876.8900","211619.5800","1070890.0000","859270.2500","211619.7500","66238.0600","55657.0700","10580.9900",
"Decatur","Los Sauces Bar & Grill Incorporated","150703736","5","1525950.3900","1386303.4700","139646.9200","498315.0000","358668.0800","139646.9200","43629.5900","36647.2000","6982.3900",
"Decatur","LSB One, Inc.","120711243","5","1501242.7400","1361991.4300","139251.3100","566340.0000","427088.6900","139251.3100","43567.6100","36605.0100","6962.6000",
"Decatur","LUNA NUEVA, INC.","150703362","5","6542992.2100","5931241.2100","611751.0000","2353473.0000","1741716.5000","611756.5000","191420.4700","160832.6200","30587.8500",
"Decatur","MAIN OAK CAFE, L.L.C.","150702371","4","864803.1300","799471.8400","65331.2900","294328.0000","228996.4600","65331.5400","20387.3800","17120.7700","3266.6100",
"Decatur","Main Street Video Gaming, Inc.","160701077","5","6467030.6300","5956109.9200","510920.7100","2159196.0000","1648254.2900","510941.7100","160512.8400","134965.6900","25547.1500",
"Decatur","MALA LLC","130705805","5","7548001.9900","6978565.0300","569436.9600","2477077.0000","1907640.0400","569436.9600","178223.0800","149751.2100","28471.8700",
"Decatur","MALA LLC","150702070","5","6116151.4100","5637191.7200","478959.6900","2039475.0000","1560509.8600","478965.1400","149944.9200","125996.6900","23948.2300",
"Decatur","MALA LLC","170700158","5","5617271.4800","5199150.1300","418121.3500","1936960.0000","1518835.1500","418124.8500","131169.8600","110263.5800","20906.2800",
"Decatur","Mervyns Enterprises, Inc.","180703405","5","621061.1500","570675.7200","50385.4300","231911.0000","181507.6700","50403.3300","15726.2500","13206.0800","2520.1700",
"Decatur","MISS KIMMEES LLC","160701008","5","6991982.3100","6351670.3600","640311.9500","2265184.0000","1624872.0500","640311.9500","200728.3000","168712.6300","32015.6700",
"Decatur","MISS KIMMEES LLC","170702824","5","5503642.3500","5047964.6800","455677.6700","1896481.0000","1440803.3700","455677.6300","142598.7800","119814.9100","22783.8700",
"Decatur","Mutti's, Inc.","140703569","4","59376.0600","55010.1100","4365.9500","21108.0000","16742.0500","4365.9500","1309.7700","1091.4700","218.3000",
"Decatur","NELLIE'S LOUNGE, INC.","140704418","5","3570818.5100","3310193.6500","260624.8600","1031019.0000","770394.1400","260624.8600","81173.6800","68142.3900","13031.2900",
"Decatur","NJ's Place Inc","120707318","5","2379120.1700","2181560.1900","197559.9800","1059324.0000","861764.0200","197559.9800","61641.8200","51763.7900","9878.0300",
"Decatur","NOAH'S AND ASSOCIATES, LLC","150702710","4","891469.8000","812886.8400","78582.9600","427413.0000","348830.0400","78582.9600","24354.0700","20424.9000","3929.1700",
"Decatur","OM NAMAH SHIVAYA INC.,","170702231","5","4010098.7100","3659891.4200","350207.2900","1458090.0000","1107860.7100","350229.2900","110272.1100","92760.6100","17511.5000",
"Decatur","Oren L. Davis Post No. 99, Veterans of Foreign Wars of the United States, Inc.","160901275","5","2751660.1300","2523938.2900","227721.8400","879436.0000","651602.1600","227833.8400","71539.7100","60147.9700","11391.7400",
"Decatur","Paco's Sol, LLC","180703340","5","36058.4000","33695.7100","2362.6900","11077.0000","8714.3100","2362.6900","732.6700","614.5400","118.1300",
"Decatur","Pearl's Entertainment Group, LLC","160703385","5","7883645.3300","7290178.4800","593466.8500","2551538.0000","1958050.6500","593487.3500","185768.9700","156094.5400","29674.4300",
"Decatur","Pershing Restaurants Inc.","120711484","5","1956486.0000","1767876.2600","188609.7400","708964.0000","520353.2600","188610.7400","59023.4200","49592.8500","9430.5700",
"Decatur","Pilot Travel Centers LLC","121009166","5","8144945.0400","7399068.2600","745876.7800","2540614.0000","1794946.9000","745667.1000","233906.6400","196623.2500","37283.3900",
"Decatur","PVS, INC., An Illinois Corporation","180701241","5","745248.8800","676280.4700","68968.4100","314931.0000","245962.5900","68968.4100","21485.7900","18037.3700","3448.4200",
"Decatur","Ruthie B Inc.,","180700982","5","138678.9100","123039.1600","15639.7500","54538.0000","38898.2500","15639.7500","4692.0300","3910.0300","782.0000",
"Decatur","SHAHD, INC.","170701684","5","943320.9500","874651.8200","68669.1300","337401.0000","268731.8700","68669.1300","21373.9400","17940.4700","3433.4700",
"Decatur","SOILL Restaurant Systems, LLC","140701440","5","8435926.4900","7718766.2800","717160.2100","2525926.0000","1808783.1500","717142.8500","225599.1500","189741.9900","35857.1600",
"Decatur","SOILL Restaurant Systems, LLC","140703929","5","7820113.5600","7106339.6300","713773.9300","2539270.0000","1825492.0700","713777.9300","223137.8200","187448.8900","35688.9300",
"Decatur","SOILL Restaurant Systems, LLC","160700128","5","6572874.2500","5965120.8600","607753.3900","2171624.0000","1563870.4400","607753.5600","190022.2900","159634.5600","30387.7300",
"Decatur","SRKW Inc.","120706388","5","1968091.3500","1806066.0500","162025.3000","717147.0000","555121.7900","162025.2100","51139.0800","43037.7900","8101.2900",
"Decatur","Staff Incorporated","190700027","5","633827.7600","584011.4300","49816.3300","238345.0000","188528.6700","49816.3300","16296.6500","13805.8100","2490.8400",
"Decatur","Starship Partners, Inc.","120701319","6","4798128.5200","4447973.8300","350154.6900","1650746.0000","1300578.8100","350167.1900","109394.9500","91886.5400","17508.4100",
"Decatur","Sundown Lounge, Inc.","120704883","5","5044214.9600","4650082.3600","394132.6000","1582161.0000","1188028.4000","394132.6000","123511.3600","103804.6800","19706.6800",
"Decatur","T&G GAMING LLC","150702672","5","7629354.1900","6958287.1300","671067.0600","2319395.0000","1648306.8700","671088.1300","210616.9900","177062.5200","33554.4700",
"Decatur","T&G GAMING LLC","150702680","5","2723616.6400","2450262.1100","273354.5300","961628.0000","688273.4700","273354.5300","85589.8100","71922.0800","13667.7300",
"Decatur","T&G GAMING LLC","150702685","5","7856594.4300","7149867.6500","706726.7800","2492084.0000","1785355.2200","706728.7800","221283.7700","185947.2500","35336.5200",
"Decatur","T&G GAMING LLC","160701447","5","4245149.4700","3840548.9700","404600.5000","1377828.0000","973227.4500","404600.5500","126972.6100","106742.5400","20230.0700",
"Decatur","T&G Gaming LLC","160702672","5","5033864.9200","4602776.9600","431087.9600","1636541.0000","1205453.0400","431087.9600","135474.8100","113920.3900","21554.4200",
"Decatur","THE GARDEN FAMILY RESTAURANT LLP","150702416","5","1508105.4000","1375275.6500","132829.7500","514516.0000","381686.3500","132829.6500","41913.3600","35271.8100","6641.5500",
"Decatur","Thorntons Inc.","171003102","5","8567687.9000","7795045.3500","772642.5500","2951842.0000","2179189.4200","772652.5800","242847.2300","204214.5400","38632.6900",
"Decatur","Timbuktu Saloon Inc.","150704284","5","3142134.5700","2900542.8400","241591.7300","1007139.0000","765547.1200","241591.8800","75993.0500","63913.4100","12079.6400",
"Decatur","Tony Hsiao's, Inc.","130705821","5","1506225.8200","1408568.8700","97656.9500","459642.0000","361984.9900","97657.0100","30624.7100","25741.8800","4882.8300",
"Decatur","Trident Partners Decatur Airport Plaza, LLC","140702535","5","9859402.8900","9040127.6500","819275.2400","3298334.0000","2479058.7600","819275.2400","256777.5000","215813.6500","40963.8500",
"Decatur","Trident Partners Decatur Brettwood Village, LLC","140702537","5","9339980.8000","8620672.2000","719308.6000","2938074.0000","2218765.4000","719308.6000","226515.5000","190550.0000","35965.5000",
