Decatur,,,,,,,,,,,,
January 2018 - December 2018,,,,,,,,,,,,
Report Date: 11/21/2019 14:38 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Decatur,MALA LLC,130705805,5,8688832.95,8073409.67,615423.28,2807223,2191732.82,615490.18,184647.59,153872.99,30774.6
Decatur,MALA LLC,150702070,5,6646622.64,6136484.71,510137.93,2240817,1730679.13,510137.87,153041.9,127534.92,25506.98
Decatur,MALA LLC,170700158,5,5552060.03,5118596.45,433463.58,1828214,1394717.83,433496.17,130049.49,108374.59,21674.9
Decatur,MISS KIMMEES LLC,160701008,5,6885968.7,6283341.29,602627.41,2143098,1540470.59,602627.41,180788.8,150657.33,30131.47
Decatur,MISS KIMMEES LLC,170702824,5,2749933.48,2481884.9,268048.58,941122,673073.38,268048.62,80414.99,67012.52,13402.47
Decatur,"Mutti's, Inc.",140703569,4,748657.29,679035.38,69621.91,281464,211842.09,69621.91,20886.84,17405.71,3481.13
Decatur,"Nash Entertainment Inc.,",160701534,2,68033.78,60286.64,7747.14,27421,19673.86,7747.14,2324.21,1936.86,387.35
Decatur,"NELLIE'S LOUNGE, INC.",140704418,5,3748222.03,3485360.82,262861.21,1076613,813751.79,262861.21,78859.29,65716.09,13143.2
Decatur,NJ's Place Inc,120707318,5,2888295.07,2634611.98,253683.09,1298656,1044972.91,253683.09,76105.47,63421.27,12684.2
Decatur,"NOAH'S AND ASSOCIATES, LLC",150702710,4,1026116.65,942906.24,83210.41,424612,341401.64,83210.36,24963.23,20802.68,4160.55
Decatur,"OM NAMAH SHIVAYA INC.,",170702231,5,2253031.95,2065557.21,187474.74,795366,607891.26,187474.74,56242.6,46868.86,9373.74
Decatur,"Oren L. Davis Post No. 99, Veterans of Foreign Wars of the United States, Inc.",160901275,5,2604404.75,2396648.83,207755.92,823630,615874.08,207755.92,62327.46,51939.54,10387.92
Decatur,"Pearl's Entertainment Group, LLC",160703385,5,6271048.17,5780967.71,490080.46,2056198,1566117.54,490080.46,147024.63,122520.58,24504.05
Decatur,Pershing Restaurants Inc.,120711484,5,2033753.63,1858989.17,174764.46,730551,555786.24,174764.76,52430.05,43691.71,8738.34
Decatur,Pilot Travel Centers LLC,121009166,5,9228165.45,8390990.2,837175.25,2871787,2034377,837410,251223.49,209352.93,41870.56
Decatur,"PVS, INC., An Illinois Corporation",180701241,5,127285.25,114135.15,13150.1,52463,39282.83,13180.17,3954.11,3295.09,659.02
Decatur,"SHAHD, INC.",170701684,5,1951486.6,1792996.15,158490.45,705145,546654.55,158490.45,47547.62,39623.02,7924.6
Decatur,"SOILL Restaurant Systems, LLC",140701440,5,8763283.82,7991982.65,771301.17,2554397,1783056.58,771340.42,231402.86,192835.74,38567.12
Decatur,"SOILL Restaurant Systems, LLC",140703929,5,9433492.46,8608527.78,824964.68,3012421,2187456.32,824964.68,247490.25,206241.88,41248.37
Decatur,"SOILL Restaurant Systems, LLC",160700128,5,6683823.95,6076962.98,606860.97,2244016,1637155.03,606860.97,182058.99,151715.82,30343.17
Decatur,SRKW Inc.,120706388,5,1789200.8,1659405.11,129795.69,606353,476557.32,129795.68,38939.01,32449.19,6489.82
Decatur,STAFF INCORPORATED,130705892,4,1410515.67,1284671.28,125844.39,422755,296803.56,125951.44,37786.01,31488.37,6297.64
Decatur,"Starship Partners, Inc.",120701319,5,4870687.27,4498988.55,371698.72,1694387,1322687.93,371699.07,111510.12,92925.11,18585.01
Decatur,"Sundown Lounge, Inc.",120704883,5,4970144.8,4559463.08,410681.72,1538270,1127588.2,410681.8,123205.08,102670.91,20534.17
Decatur,T&G GAMING LLC,150702672,5,7725976.54,7031055.05,694921.49,2406571,1711649.51,694921.49,208477.2,173731.04,34746.16
Decatur,T&G GAMING LLC,150702680,5,2920565.98,2638085.74,282480.24,1049432,766951.61,282480.39,84744.97,70620.82,14124.15
Decatur,T&G GAMING LLC,150702685,5,8629715.79,7836075.25,793640.54,2753143,1959502.46,793640.54,238092.92,198410.8,39682.12
Decatur,T&G GAMING LLC,160701447,5,4116956.63,3742085.79,374870.84,1274902,900031.16,374870.84,112461.92,93718.29,18743.63
Decatur,T&G Gaming LLC,160702672,5,5046651.24,4573146.6,473504.64,1611536,1138031.36,473504.64,142052.33,118376.94,23675.39
Decatur,THE GARDEN FAMILY RESTAURANT LLP,150702416,5,1421005.85,1302719.35,118286.5,502101,383814.35,118286.65,35486.63,29572.2,5914.43
Decatur,Thorntons Inc.,171003102,5,4571632.1,4134549.45,437082.65,1567962,1130838.57,437123.43,131137.49,109281.25,21856.24
Decatur,Timbuktu Saloon Inc.,150704284,5,2941682.27,2719790.18,221892.09,919393,697501.07,221891.93,66568.04,55473.38,11094.66
Decatur,"Tony Hsiao's, Inc.",130705821,5,1908987.41,1751999.61,156987.8,552110,395122.06,156987.94,47096.71,39247.27,7849.44
Decatur,"Trident Partners Decatur Airport Plaza, LLC",140702535,5,10066471.94,9265237.81,801234.13,3139888,2338653.87,801234.13,240371.02,200309.2,40061.82
Decatur,"Trident Partners Decatur Brettwood Village, LLC",140702537,5,8703100.13,8040291.2,662808.93,2589883,1927074.07,662808.93,198843.36,165702.82,33140.54
Decatur,"Trident Partners Decatur Crossings, LLC",140703997,5,7679790.91,7080178.99,599611.92,2321979,1722366.93,599612.07,179884.22,149903.53,29980.69
Decatur,TUSCANY OF MLK INC.,180700965,5,295073.01,268519.34,26553.67,113230,86676.33,26553.67,7966.23,6638.54,1327.69
Decatur,"Van Dyke Video Gaming, Inc",150703967,5,7754597.46,7145791.96,608805.5,2389404,1780597.5,608806.5,182642.4,152202.02,30440.38
Decatur,"Variety Liquors, Inc.",120708465,5,4630552.67,4196286.02,434266.65,1423812,989545.35,434266.65,130280.54,108567.13,21713.41
Decatur,"Ware Brands, Inc. ",150700089,5,8465929.52,7658225.51,807704.01,2809792,2002087.99,807704.01,242311.79,201926.48,40385.31
Decatur,"Whit's of Decatur, Inc.",120711444,5,2921070.97,2651831.67,269239.3,943941,674701.68,269239.32,80772.61,67310.51,13462.1
Decatur,Wild Dog Saloon Incorporated,120705737,5,2537845.18,2360439.05,177406.13,782194,604787.87,177406.13,53222.26,44351.88,8870.38
Decatur,"Winery One, Inc.",120711244,5,3825605.14,3515074.55,310530.59,1341995,1031444.01,310550.99,93165.88,77638.25,15527.63
Decatur,ZANNIE SPATES,170702160,5,5407932.12,4976698.42,431233.7,1742103,1310869.3,431233.7,129370.62,107808.87,21561.75
Decatur,Zejna Islamoski & Lavdrime Islamoski ,120707211,5,3167252.96,2910773.16,256479.8,1043533,787053.2,256479.8,76944.57,64120.49,12824.08
