License Number,Address,City,State,Zip,County,Latitude,Longitude
160700561,5995 Route 36 East Suite 2,Decatur,IL,62521,Macon,39.81626,-88.859998
120711244,1093 W Main St,Decatur,IL,62522,Macon,39.840904,-88.972379
170702160,2150 N. Oakland Ave,Decatur,IL,62526,Macon,39.864789,-88.972538
120707211,1044 W Eldorado,Decatur,IL,62521,Macon,39.845806,-88.971678
150802918,602 W. King,Decatur,IL,62522,Macon,39.85002,-88.964048
120908458,1535 Legion Dr,Decatur,IL,62521,Macon,39.825391,-88.978269
160901275,3920 N. Martin Luther King Jr. Drive,Decatur,IL,62526,Macon,39.893104,-88.94926
191000748,1420 E. Pershing Rd.,Decatur,IL,62526,Macon,39.877613,-88.937997
121009166,4030 East Boyd Road,Decatur,IL,62521,Macon,39.907424,-88.895638
171003102,612 E. Mound Rd,Decatur,IL,62526,Macon,39.891879,-88.949632
