All Municipality Totals,,,,,,,,,,,
January 2019 - November 2019,,,,,,,,,,,
Report Date: 12/18/2019 20:59 PM,,,,,,,,,,,
Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
DeKalb,20,94,56851185.17,52105013.7,4746171.47,18031788,13285542.56,4746245.44,1491379.16,1254066.08,237313.08
Delavan,3,11,2061494.75,1894197.64,167297.11,629910,462610.87,167299.13,52559.19,44194.21,8364.98
Depue,5,25,3087607.7,2848818.94,238788.76,1014801,776012.09,238788.91,74676.83,62737.33,11939.5
Diamond,5,23,19690449.66,18166352.58,1524097.08,5904986,4380842.05,1524143.95,478523.26,402315.9,76207.36
Dieterich,2,7,2471739.82,2290785.99,180953.83,758909,577954.97,180954.03,56943.12,47895.39,9047.73
Divernon,6,30,10110526.46,9240891.48,869634.98,3003290,2133617.77,869672.23,272508.33,229024.58,43483.75
Dixmoor,2,10,5556588.45,5072710.24,483878.21,1665663,1181773.85,483889.15,151382.84,127188.34,24194.5
Dixon,27,123,71648566.95,65703823.56,5944743.39,22888240,16943396.76,5944843.24,1865368.32,1568125.22,297243.1
Dolton,14,62,43146254,39519876.16,3626377.84,15666552,12040082.84,3626469.16,1137128.81,955804.8,181324.01
Dongola,1,5,2084383.48,1886522.25,197861.23,566193,368331.63,197861.37,62180.48,52287.4,9893.08
Donnellson,1,4,3000705.32,2774504.05,226201.27,823023,596821.73,226201.27,70847.08,59536.97,11310.11
Douglas County,5,19,2472392.11,2269622.76,202769.35,889204,686434.16,202769.84,63324.99,53186.43,10138.56
Dowell,1,5,3159512.51,2935797.93,223714.58,1046071,822354.42,223716.58,70050.05,58864.16,11185.89
Downs,3,11,3585082.35,3304998.77,280083.58,1005847,725763.43,280083.57,87037.67,73033.46,14004.21
Du Bois,3,13,2509025.71,2321886.25,187139.46,854302,667080.7,187221.3,58514.52,49153.35,9361.17
Du Quoin,13,65,26950555.72,24811223.04,2139332.68,8399779,6260401.48,2139377.52,670661.94,563692.82,106969.12
Dunlap,4,18,4622429.3,4266041.69,356387.61,1689439,1333051.46,356387.54,111579.49,93759.98,17819.51
Dupo,8,37,16819365.97,15518389.81,1300976.16,4720425,3419345.46,1301079.54,408915.36,343861.2,65054.16
Durand,5,25,7535995.7,6934567.8,601427.9,2849240,2247811.6,601428.4,188685.52,158613.92,30071.6
Dwight,11,50,21561949.01,19787412.78,1774536.23,6854879,5080293.22,1774585.78,554869.17,466139.57,88729.6
Earlville,2,9,1380151.55,1274601.95,105549.6,491167,385599.25,105567.75,33646.39,28367.99,5278.4
East Alton,19,90,42275975.08,38820317.46,3455657.62,12368382,8912658.34,3455723.66,1084879.59,912092.72,172786.87
East Brooklyn,1,5,1654549.66,1524998.51,129551.15,464677,335125.85,129551.15,40865.46,34387.86,6477.6
East Cape Girardeau,2,10,2791713.97,2560346.62,231367.35,739710,508308.89,231401.11,70506.61,58936.52,11570.09
East Dubuque,14,68,31561314.68,28908359.96,2652954.72,8706852,6053838.65,2653013.35,832183.28,699532.1,132651.18
East Dundee,15,71,43094188.75,39376626.49,3717562.26,14825000,11107352.43,3717647.57,1168206.74,982323.8,185882.94
East Galesburg,2,7,1494491.04,1377085.41,117405.63,468674,351268.41,117405.59,36722.37,30852.06,5870.31
East Gillespie,2,10,4022912.08,3694811.95,328100.13,1335909,1007808.52,328100.48,102615.28,86210.21,16405.07
East Hazel Crest,2,10,12267912.93,11321660.25,946252.68,4068947,3122694.32,946252.68,297097.74,249785.03,47312.71
East Moline,31,154,45029768.55,40946501.63,4083266.92,13712824,9629287.88,4083536.12,1281698.47,1077520.79,204177.68
East Peoria,26,111,47587074.94,43585433.36,4001641.58,15619006,11617214.91,4001791.09,1254224.96,1054134.73,200090.23
Easton,1,5,1047223.72,966829.78,80393.94,285280,204885.83,80394.17,25243.1,21223.39,4019.71
Edgewood,4,16,3885373.08,3579600.56,305772.52,1192223,886450.23,305772.77,95409.97,80121.24,15288.73
Edinburg,4,20,4887094.7,4501164.71,385929.99,1551061,1165094.09,385966.91,120947.8,101649.41,19298.39
Effingham,38,174,106890728.5,98406110.04,8484618.49,32635006,24149258.27,8485747.73,2655227.24,2230938.83,424288.41
Effingham County,11,45,19308210.16,17798718.3,1509491.86,6177603,4668108.35,1509494.65,473316.31,397841.42,75474.89
El Paso,9,43,10890637.14,10006138.87,884498.27,3439787,2555264.68,884522.32,277596.49,233370.16,44226.33
Elburn,5,24,9397159.86,8638007.06,759152.8,2897485,2138299.29,759185.71,238410.98,200451.55,37959.43
Eldorado,6,30,17611188.18,16182818.25,1428369.93,4685402,3257001.15,1428400.85,447104.38,375684.22,71420.16
Eldred,3,11,3798209.3,3490082.16,308127.14,1156280,848152.56,308127.44,96924.11,81517.67,15406.44
Elgin,34,157,83655257.95,76690537.45,6964720.5,27434431,20469588.87,6964842.13,2185302.37,1837059.11,348243.26
Elizabeth,3,10,2503551.05,2290920.08,212630.97,789899,577267.72,212631.28,66471.17,55839.53,10631.64
Elizabethtown,2,8,1711359.84,1568374.69,142985.15,499081,356095.57,142985.43,44692.89,37543.58,7149.31
Elk Grove Village,24,118,94642486.5,86674589,7967897.5,29442224,21474044.84,7968179.16,2497105.18,2098695.35,398409.83
Elkhart,1,5,1451076.64,1329722.96,121353.68,523958,402604.98,121353.02,38059.91,31992.26,6067.65
Elmwood,3,12,4051650.36,3720924.77,330725.59,1321368,990643.32,330724.68,103685.32,87149.03,16536.29
Elmwood Park,24,115,101479012.1,92707890.96,8771121.11,33283384,24512164.3,8771219.7,2750637.72,2312075.9,438561.82
Elwood,1,4,1472435.57,1360886.42,111549.15,493537,381981.35,111555.65,34984.44,29406.65,5577.79
Emden,2,9,3000562.59,2785746.14,214816.45,942645,727828.15,214816.85,67418.94,56678.05,10740.89
Enfield,2,6,1860472.03,1732732.7,127739.33,477907,350167.72,127739.28,40243.19,33856.18,6387.01
Erie,2,10,4037429.97,3693663.73,343766.24,1478006,1134139.51,343866.49,107957.35,90763.89,17193.46
Essex,3,11,2767881.02,2566512.88,201368.14,803248,601879.86,201368.14,62942.74,52874.28,10068.46
Eureka,1,5,1210039.09,1116245.67,93793.42,328707,234913.46,93793.54,29186.76,24497.02,4689.74
Evansville,3,13,3062672.35,2834558.23,228114.12,962999,734885.14,228113.86,71788.15,60382.35,11405.8
Evergreen Park,1,5,7385379.81,6811786.86,573592.95,2309000,1735407.05,573592.95,179870.75,151191.06,28679.69
Fairbury,6,27,7554351.53,6938840.09,615511.44,2299020,1683507.85,615512.15,192803.36,162027.59,30775.77
Fairfield,6,29,15078375.07,13963453.45,1114921.62,3789696,2674732.64,1114963.36,353763.72,298015.53,55748.19
Fairmont City,9,44,19632222.97,18034552.61,1597670.36,6257150,4659400.11,1597749.89,501137.29,421249.46,79887.83
Fairview,1,3,938869.99,856271.2,82598.79,310690,228090.94,82599.06,25744.08,21614.11,4129.97
Fairview Heights,13,61,36467586.18,33435561.76,3032024.42,11701517,8669153.95,3032363.05,951796.76,800178.27,151618.49
Farina,2,10,8002489.79,7360531.72,641958.07,2155236,1513277.68,641958.32,201002.29,168904.29,32098
Farmer City,6,31,8489569.43,7732768.01,756801.42,2836983,2080154.21,756828.79,237716.88,199875.32,37841.56
Farmersville,3,13,8233604.34,7593358.88,640245.46,2438998,1798702.49,640295.51,201231.09,169216.21,32014.88
Farmington,7,31,6901986.21,6326331.53,575654.68,2294416,1718724.11,575691.89,181257.71,152473.07,28784.64
Fayette County,1,5,2216912.43,2030355.38,186557.05,673668,486921.5,186746.5,59053.23,49715.9,9337.33
Fayetteville,1,3,1007968.08,932921.73,75046.35,303317,228270.65,75046.35,23343.14,19590.82,3752.32
Fieldon,2,9,2199541.35,2018893.83,180647.52,736401,555753.2,180647.8,56503.89,47471.42,9032.47
Findlay,3,10,1289088.26,1185588.69,103499.57,417836,314336.52,103499.48,32787.03,27612.03,5175
Fisher,2,8,3938571.45,3616728.05,321843.4,1352052,1030208.61,321843.39,100719.59,84627.36,16092.23
Fithian,1,5,1422788.08,1299113.95,123674.13,514519,390845.11,123673.89,39003.48,32819.77,6183.71
Flanagan,3,14,4107665.93,3776674.89,330991.04,1294633,963642.11,330990.89,104197.29,87618.08,16579.21
Flora,7,34,21056858.25,19503118.01,1553740.24,6228300,4674479.69,1553820.31,486712.14,409021,77691.14
Florence,1,5,1378720.42,1264735.87,113984.55,477505,363520.6,113984.4,35459.62,29760.4,5699.22
Flossmoor,2,10,2314298,2131487.09,182810.91,769964,587133.42,182830.58,57449.79,48308.22,9141.57
Ford Heights,3,15,11821648.13,10835623.11,986025.02,4793250,3807186.6,986063.4,309189.1,259885.79,49303.31
Forest City,1,5,835730.55,772516.35,63214.2,302047,238832.79,63214.21,19941.08,16780.31,3160.77
Forest View,3,15,25673351.24,23714020.82,1959330.42,7906577,5947207.12,1959369.88,614338.36,516369.74,97968.62
Forrest,2,8,1587052.12,1457668.34,129383.78,517727,388342.98,129384.02,40586.83,34117.59,6469.24
Forreston,3,12,3039508.21,2785444.98,254063.23,981445,727382.39,254062.61,79643.36,66940.17,12703.19
Fox Lake,25,114,63565235.03,58239358.97,5325876.06,21087189,15761210.13,5325978.87,1670888.96,1404588.97,266299.99
Fox River Grove,8,36,21400202.67,19624475.94,1775726.73,6696971,4921221.06,1775749.94,554308.48,465520.67,88787.81
Franklin County,4,19,4103012.36,3796595.82,306416.54,1279102,972685.46,306416.54,96824.49,81503.59,15320.9
Franklin Park,12,56,22700387.52,20776356.76,1924030.76,7644317,5720283.65,1924033.35,601481.61,505279.64,96201.97
Freeburg,5,25,13799775.07,12710257.87,1089517.2,4168198,3078680.24,1089517.76,343862.82,289386.84,54475.98
Freeport,25,121,78717787.93,72022203.28,6695584.65,27045338,20349416.13,6695921.87,2098132.69,1763335.67,334797.02
Fulton,7,35,19943820.41,18337326,1606494.41,5793808,4187305.08,1606502.92,505601.34,425275.97,80325.37
Fulton County,5,18,3153261.56,2905794.14,247467.42,946316,698847.57,247468.43,78425.99,66052.53,12373.46
Galena,9,37,15351497.58,14105873.6,1245623.98,5025823,3780196.51,1245626.49,392303.81,330022.21,62281.6
Galesburg,33,156,82683939.86,75560646.2,7123293.66,26018078,18893737.19,7124340.81,2232240.19,1876022.35,356217.84
Gallatin County,2,10,1278095.14,1173151.43,104943.71,377830,272865.85,104964.15,33584.3,28336.06,5248.24
Galva,4,19,5767319.66,5277803.5,489516.16,1920448,1430888.22,489559.78,152959.74,128481.62,24478.12
Gardner,3,13,2985477.81,2736356.05,249121.76,885846,636723.89,249122.11,77759.46,65303.31,12456.15
Genoa,7,34,10628994.41,9702217.33,926777.08,3315663,2388856.68,926806.32,292320.27,245979.73,46340.54
Georgetown,4,15,9487029.67,8753753.33,733276.34,2659216,1925930.1,733285.9,229983.57,193319.25,36664.32
German Valley,1,5,1173894.61,1089561.08,84333.53,403964,319630.52,84333.48,26486.33,22269.68,4216.65
Germantown,5,25,7253387.04,6691416.87,561970.17,2307867,1745894.68,561972.32,176299.23,148200.46,28098.77
Germantown Hills,3,14,3630397.49,3312027.65,318369.84,1204973,886602.94,318370.06,100130.6,84212.04,15918.56
Gibson City,9,40,13554955.61,12468481.47,1086474.14,4352427.06,3265947.3,1086479.76,342073.16,287748.96,54324.2
Gifford,2,10,4399704.11,4078203.68,321500.43,1338478,1016725.92,321752.08,101149,85061.32,16087.68
Gilberts,8,40,21435789.36,19692790.16,1742999.2,7306131,5562970.5,1743160.5,546801.3,459643.04,87158.26
Gillespie,6,25,5880622.59,5391704.91,488917.68,1892783,1403844.21,488938.79,153469.68,129022.59,24447.09
Gilman,9,38,16900726.21,15535256.27,1365469.94,5239820,3874349.21,1365470.79,427434.62,359160.9,68273.72
Girard,4,18,6090068.02,5536804.35,553263.67,1917305,1364009.53,553295.47,173408.5,145743.68,27664.82
Gladstone,1,3,408576.54,370436.17,38140.37,144934,106793.47,38140.53,11916.42,10009.37,1907.05
Glasford,2,7,1953964.78,1797160.69,156804.09,561314,404509.96,156804.04,49341.33,41501.14,7840.19
Glasgow,1,5,1448226.21,1321339.06,126887.15,486534,359646.85,126887.15,39639.08,33294.71,6344.37
Glendale Heights,14,68,62672344.56,57660767.59,5011576.97,20498864,15487276.53,5011587.47,1570084.48,1319504.5,250579.98
Glenwood,9,46,21430291.03,19610749.07,1819541.96,7495614,5676019.62,1819594.38,568945.73,477965.76,90979.97
Godfrey,11,51,22892374.62,21098734.74,1793639.88,6638656,4844923.49,1793732.51,562586.46,472899.59,89686.87
Godley,1,5,2633713.1,2434364.28,199348.82,804153,604804.01,199348.99,62340.67,52373.18,9967.49
Golconda,1,5,2329352.54,2149812.98,179539.56,792173,612633.2,179539.8,56331.54,47354.52,8977.02
Golden,1,5,980666.87,903210,77456.87,316978,239521.13,77456.87,24338.58,20465.73,3872.85
Grafton,7,23,3010378.92,2749024.86,261354.06,903845,642489.56,261355.44,82915.84,69847.97,13067.87
Grandview,5,25,12632336.48,11499830.47,1132506.01,4326762,3194256.05,1132505.95,355417.15,298791.74,56625.41
Granite City,23,106,52721420.47,48542669.06,4178751.41,15366671,11187870.54,4178800.46,1306628.75,1097688.03,208940.72
Grant Park,2,8,2125512.06,1941054.28,184457.78,631917,447403.7,184513.3,57889.27,48663.58,9225.69
Grantfork,2,4,63435.49,57805.37,5630.12,21812,16182.23,5629.77,1857.31,1575.82,281.49
Granville,5,18,4303240.72,3971491.53,331749.19,1366681,1034931.27,331749.73,104274.74,87687.21,16587.53
Grayville,6,30,18853397.7,17281532.49,1571865.21,4985461,3413595.39,1571865.61,492530.11,413936.72,78593.39
Green Oaks,2,8,8881308.76,8181216.08,700092.68,2903635,2203106.83,700528.17,219220.29,184193.83,35026.46
Green Valley,1,5,2088701.81,1910001.08,178700.73,613115,434414.27,178700.73,56258.26,47323.21,8935.05
Greene County,4,17,2367203.39,2174974.58,192228.81,698773,506544.15,192228.85,60291.85,50680.41,9611.44
Greenfield,2,10,1017656.53,942059.19,75597.34,281853,206255.66,75597.34,24126.18,20346.29,3779.89
Greenup,7,31,16096572.76,14700588.38,1395984.38,4652759,3256762.95,1395996.05,437918.57,368118.56,69800.01
Greenview,2,9,2748337.81,2499305.95,249031.86,794833,545801.14,249031.86,78213.99,65762.33,12451.66
Greenville,7,31,18484927.7,16979250.92,1505676.78,5304437,3798714.59,1505722.41,472236.62,396950.22,75286.4
Gridley,1,5,1257889.35,1151769.44,106119.91,353353,247233.09,106119.91,33214.15,27908.1,5306.05
Griggsville,3,11,3064780.22,2818244.8,246535.42,895491,648955.46,246535.54,77363.83,65036.97,12326.86
Grundy County,6,30,8112684.11,7443525.79,669158.32,2743458,2074299.24,669158.76,210068.46,176610.29,33458.17
Gulfport,2,7,233775.95,211210.53,22565.42,70131,47635.79,22495.21,6947.72,5822.97,1124.75
Hamel,3,12,8953995.45,8148999.83,804995.62,2587775,1782722.23,805052.77,253185.86,212933.18,40252.68
Hamilton,4,15,11941395.88,11010825.13,930570.75,3562276,2631704.79,930571.21,291981.24,245452.63,46528.61
Hamilton County,2,10,6424518.62,5941751,482767.62,1852353,1369585.38,482767.62,151663.73,127525.33,24138.4
Hammond,1,4,1379137.56,1275577.45,103560.11,455244,351683.89,103560.11,32506.33,27328.29,5178.04
Hampshire,9,44,24855264.37,22823019.87,2032244.5,7582619,5550290.66,2032328.34,637318.91,535702.23,101616.68
Hampton,2,10,4977245.16,4592703.97,384541.19,1384629,1000087.91,384541.09,120953.36,101726.27,19227.09
Hancock County,2,7,2744241.1,2534009.63,210231.47,653165,442933.56,210231.44,65823.9,55312.32,10511.58
Hanna City,3,13,4412549.78,4062774.03,349775.75,1241815,891954.78,349860.22,109920.11,92427.05,17493.06
Hanover,6,25,1812964.21,1660847.37,152116.84,465830,313708.64,152121.36,48281.63,40675.56,7606.07
Hanover Park,9,46,41471338.34,38046802.49,3424535.85,13601792,10176589.44,3425202.56,1072210.62,900950.1,171260.52
Hardin,2,6,1679150.15,1547998.41,131151.74,462835,331682.01,131152.99,40789.05,34231.36,6557.69
Harmon,1,5,2450713.76,2262500.04,188213.72,711450,523234.28,188215.72,59144.58,49733.75,9410.83
Harrisburg,20,98,45617452.36,42076186.04,3541266.32,12071926,8530605.35,3541320.65,1108249.41,931182.76,177066.65
Harristown,2,10,7713932.81,7116904.2,597028.61,2510967,1913938.09,597028.91,186467.95,156616.48,29851.47
Hartford,4,18,7333163.48,6781196.12,551967.36,2156832,1604844.85,551987.15,172835.52,145236.01,27599.51
Harvard,18,82,27594216.88,25250852.61,2343364.27,9100632,6757220.42,2343411.58,736500.62,619329.33,117171.29
Harvel,1,5,626953.58,573389.41,53564.17,212178,158613.83,53564.17,16690.45,14012.24,2678.21
Harvey,14,65,25810633.32,23596624.93,2214008.39,9108313,6894259.31,2214053.69,697626.25,586923.31,110702.94
Harwood Heights,4,20,5370650.38,4895354.65,475295.73,1922248,1446951.77,475296.23,152104.59,128339.69,23764.9
Havana,12,49,17495410.85,15986359.69,1509051.16,5312192,3802985.11,1509206.89,474440.08,398979.51,75460.57
Hazel Crest,1,5,1717874.87,1595011.07,122863.8,564558,441693.94,122864.06,38397.62,32254.4,6143.22
Hebron,5,24,9675632.39,8791091.92,884540.47,3171250,2286662.43,884587.57,277913.8,233684.33,44229.47
Hecker,1,5,1470535.71,1348181.69,122354.02,465549,343194.74,122354.26,38209.88,32092.16,6117.72
Henderson County,2,8,3327293.44,3067010.79,260282.65,847602,587319.3,260282.7,82245.25,69231.05,13014.2
Hennepin,2,8,3429965.31,3180984.56,248980.75,1005456,756374.95,249081.05,77713.16,65259.01,12454.15
Henry,6,29,7864747.68,7232610.87,632136.81,2468852,1836683.79,632168.21,197697.79,166089.21,31608.58
Henry County,1,5,1866147.74,1699529.49,166618.25,626407,459788.55,166618.45,52148.89,43817.93,8330.96
Herrin,24,112,48871447.71,45070061.69,3801386.02,14886172,11084690.12,3801481.88,1191240.32,1001165.51,190074.81
Herscher,3,12,4077179.39,3762696.36,314483.03,1421146,1106646.92,314499.08,99062.47,83337.42,15725.05
Hettick,1,5,473592.64,436355.48,37237.16,165361,128123.54,37237.46,11893.79,10031.9,1861.89
Heyworth,4,19,8292337.84,7630597.14,661740.7,2704126,2042385.77,661740.23,208395.44,175308.32,33087.12
Hickory Hills,18,85,64837756.65,59393907.41,5443849.24,21088114,15644200.48,5443913.52,1707320.43,1435124.15,272196.28
Highland,16,74,25871524.77,23664314.74,2207210.03,8300408,6093116.41,2207291.59,692854.47,582489.4,110365.07
Hillcrest,1,5,7641556.08,7064152.55,577403.53,2548913,1971408.05,577504.95,180585.63,151710.36,28875.27
Hillsboro,9,38,12642738.85,11669474.13,973264.72,3629653,2656388.28,973264.72,304689.01,256025.52,48663.49
Hillsdale,1,5,4436668.46,4042317.09,394351.37,1284804,890431.06,394372.94,123823.74,104105.03,19718.71
Hillside,5,25,9911633.75,8967422.55,944211.2,3657193,2712961.69,944231.31,295952.99,248741.29,47211.7
Hinckley,4,17,5757328.6,5302090.22,455238.38,1890058,1434819.57,455238.43,143062.36,120300.24,22762.12
Hindsboro,3,14,3666985.11,3369983.55,297001.56,1030070,733036.48,297033.52,93217.92,78366.2,14851.72
Hodgkins,2,10,9015692.69,8217856.23,797836.46,2932494,2134657.47,797836.53,250576.35,210684.44,39891.91
Hoffman,1,3,816207.32,745822.75,70384.57,238046,167661.43,70384.57,22034.64,18515.41,3519.23
Hoffman Estates,29,141,95096221.59,87127609.58,7968612.01,30989317,23020416.45,7968900.55,2499424.72,2100978.88,398445.84
Hollowayville,1,4,5561.04,4831.79,729.25,2528,1798.75,729.25,218.79,182.32,36.47
Homer,1,4,927544.27,852094.01,75450.26,289525,214079.03,75445.97,23739.47,19967.17,3772.3
Homer Glen,12,54,43780295.43,40383791.65,3396503.78,13264458,9867839.61,3396618.39,1065703.58,895872.16,169831.42
Hometown,6,30,36483422.1,33311465.24,3171956.86,12945083.1,9772140.13,3172942.97,996502.14,837854.76,158647.38
Homewood,7,35,18902221.47,17339645.27,1562576.2,5800619,4237821.51,1562797.49,490960.79,412820.67,78140.12
Hoopeston,7,32,14326370.9,13160949.85,1165421.05,4697123,3531593.19,1165529.81,365249.92,306973.17,58276.75
Hopkins Park,1,5,1245568.6,1136510.4,109058.2,514520,405461.77,109058.23,34601.78,29148.85,5452.93
Hoyleton,1,5,2416588.3,2241588.93,174999.37,822139,647137.63,175001.37,54618.07,45867.98,8750.09
Hudson,3,9,681103.84,629372.59,51731.25,206519.5,154788.18,51731.32,15519.53,12932.96,2586.57
Humboldt,1,5,759810.45,701318.28,58492.17,228263,169770.62,58492.38,18395.38,15470.73,2924.65
Huntley,14,67,40140710.28,36889529.77,3251180.51,12501221,9249914.04,3251306.96,1017715.4,855149.57,162565.83
Hurst,3,14,1567557.02,1436000.26,131556.76,500823,369266.42,131556.58,41231.76,34653.84,6577.92
Hutsonville,1,5,2947087.39,2687391.13,259696.26,884414,624717.74,259696.26,81868.78,68883.95,12984.83
Illiopolis,3,15,3979336.09,3667928.27,311407.82,1189568,878159.38,311408.62,97890.56,82320.02,15570.54
Ina,1,5,7164061.64,6486345.57,677716.07,1914012,1236295.79,677716.21,212058.84,178172.99,33885.85
Indian Head Park,4,20,19984541,18351250.21,1633290.79,6193203,4559912.29,1633290.71,512357.65,430692.93,81664.72
Industry,1,3,2106.6,1492,614.6,979,364.46,614.54,184.37,153.64,30.73
Ipava,3,7,1214183.05,1105334.12,108848.93,370029,261180.19,108848.81,34226.64,28784.17,5442.47
Iroquois,3,8,1460097.41,1338019.64,122077.77,461792,339713.66,122078.34,38541.56,32437.62,6103.94
Iroquois County,4,13,4202744.36,3835768.44,366975.92,1286051,919075.23,366975.77,114088.61,95739.77,18348.84
Irving,1,4,609572.75,562602.65,46970.1,189943,142962.9,46980.1,14375.07,12075.45,2299.62
Island Lake,6,30,19214492.28,17711118.85,1503373.43,6311978,4808604.49,1503373.51,471385.26,396216.41,75168.85
Itasca,6,29,17746685.42,16299573.52,1447111.9,5640414,4193302.08,1447111.92,454261.79,381906,72355.79
Ivesdale,1,4,1026969.85,939183.7,87786.15,343477,255690.85,87786.15,27710.9,23321.56,4389.34
Jackson County,10,36,5943831.46,5481213.98,462617.48,1797560,1334941.26,462618.74,145671.14,122539.99,23131.15
Jacksonville,32,146,66687166.72,61027654.83,5659511.89,20943987,15284274.25,5659712.75,1770741.77,1487755.48,282986.29
Jasper County,2,10,4908097.31,4517434.36,390662.95,1667135,1276465.18,390669.82,122767.06,103233.51,19533.55
Jefferson County,4,20,6529960.65,6050240.18,479720.47,1931933,1452179.56,479753.44,150222.33,126234.57,23987.76
Jerome,7,35,21914557.88,19957441.46,1957116.42,7598266,5641149.52,1957116.48,613904.15,516048.12,97856.03
Jersey County,7,23,5094049.58,4652774.05,441275.53,1528073,1086781.56,441291.44,138816.08,116751.47,22064.61
Jerseyville,14,65,24356579.38,22456031.32,1900548.06,6894839,4994274.49,1900564.51,596053.76,501025.29,95028.47
Jo Daviess County,2,5,546389.71,502057.5,44332.21,181322,136989.79,44332.21,14020.04,11803.44,2216.6
Johnsburg,12,59,27990309.72,25552279.02,2438030.7,9759044,7320905.66,2438138.34,764687.46,642780.16,121907.3
Johnson County,2,10,2480510.27,2281779.75,198730.52,606934,408203.23,198730.77,62481.71,52545.14,9936.57
Johnston City,9,41,13104804.91,12023658.61,1081146.3,3958088,2876951.53,1081136.47,338452.34,284395.41,54056.93
Joliet,84,376,196632035.2,180276683.2,16355352.02,63302843,46947096.01,16355746.99,5127743.22,4309953.4,817789.82
Jonesboro,2,10,1584314.35,1440703.75,143610.6,434781,291101.96,143679.04,45765.79,38581.83,7183.96
Joy,2,6,980188.31,893756.7,86431.61,328775,242343.12,86431.88,27185.23,22863.6,4321.63
Junction,1,5,52347.93,46921.78,5426.15,17596,12169.85,5426.15,1790.65,1519.34,271.31
Junction City,1,4,1058790.67,978957.34,79833.33,353472,273639.22,79832.78,25040.17,21048.52,3991.65
Justice,22,109,64951155.24,59746762.21,5204393.03,20280145,15075473.11,5204671.89,1633357.05,1373122.68,260234.37
Kampsville,1,4,544922.88,500917.24,44005.64,178992,134985.56,44006.44,13997.79,11797.44,2200.35
Kane,1,4,1185549.14,1092536.1,93013.04,332532,239493.66,93038.34,29107.44,24455.48,4651.96
Kane County,13,64,46337913.43,42630458.11,3707455.32,14338833,10631370.79,3707462.21,1160727.69,975353.96,185373.73
Kangley,1,3,1322198.88,1232026.17,90172.71,379008,288835.29,90172.71,28245.03,23736.39,4508.64
Kankakee,43,202,108882796.8,100006746.9,8876049.89,37866267,28989834.7,8876432.3,2779256.26,2335433.22,443823.04
Kankakee County,9,38,13259857.49,12195245.58,1064611.91,4341467,3276854.09,1064612.91,333420.79,280189.87,53230.92
Keithsburg,2,7,1585883.47,1448844.74,137038.73,505864,368825.27,137038.73,43078.21,36226.26,6851.95
Kempton,1,3,499431.82,465150.7,34281.12,182856,148574.88,34281.12,10743.47,9029.35,1714.12
Kendall County,6,28,13917532.71,12770960,1146572.71,4246054,3099419.85,1146634.15,361362.89,304031.06,57331.83
Kenney,1,5,1090605.36,1003294.85,87310.51,323135,235845.27,87289.73,27269.56,22904.99,4364.57
Kewanee,23,95,39431453.34,36358118.84,3073334.5,12733001,9659639.4,3073361.6,962176,808507.24,153668.76
Keyesport,3,15,6422981.29,5919875.67,503105.62,2084961,1581855.08,503105.92,157594.89,132439.49,25155.4
Kilbourne,1,5,811162.96,739218.58,71944.38,253932,181987.53,71944.47,22574.7,18977.44,3597.26
Kincaid,2,10,1295385.48,1186928.28,108457.2,410354,301894.8,108459.2,34828.75,29405.8,5422.95
Kingston,2,10,3435732.51,3148913.11,286819.4,1074128,787307.53,286820.47,89853.41,75512.31,14341.1
Kingston Mines,1,3,987474.97,913822.13,73652.84,346103,272450,73653,23005.73,19323.09,3682.64
Kinmundy,1,4,590730.21,550314.84,40415.37,175361,134941.61,40419.39,12773.57,10752.59,2020.98
Kirkland,4,19,4401882.17,4045928.26,355953.91,1390839,1034881.79,355957.21,112408.14,94610.27,17797.87
Knox County,6,26,10102808.58,9301891.69,800916.89,3332895,2531938.02,800956.98,251059.27,211011.26,40048.01
Knoxville,3,15,10114380.41,9230531.44,883848.97,3053742,2169876.48,883865.52,277068.74,232875.34,44193.4
La Harpe,1,3,99860.25,88505.03,11355.22,30743,19387.78,11355.22,3586.12,3018.34,567.78
La Salle,24,103,47164670,43351439.3,3813230.7,15155241,11342445.16,3812795.84,1194428.74,1003788.24,190640.5
La Salle County,32,117,35469925.81,32692896.09,2777029.72,11733542,8956397.68,2777144.29,872414.09,733556.18,138857.91
Lacon,7,29,7559596.81,6950224.92,609371.89,2534769,1925396.7,609372.3,190906.43,160437.68,30468.75
Ladd,5,18,4874402.04,4469281.85,405120.19,1561375,1156248.96,405126.04,126940.33,106683.89,20256.44
Lake County,63,291,163736216.8,150124019.9,13612196.92,54238834.95,40626382.25,13612452.7,4269777.26,3589152.37,680624.89
Lake In the Hills,14,63,43382073.24,39657347.55,3724725.69,13520211,9795375.46,3724835.54,1166691.94,980449.62,186242.32
Lake Villa,14,61,30376651.66,27909371.09,2467280.57,9780100,7312809.64,2467290.36,773634.27,650269.27,123365
Lake Zurich,15,74,52758780.62,48473890.45,4284890.17,15693292,11407905.23,4285386.77,1344648.86,1130379.03,214269.83
Lakemoor,5,25,17313376.96,15810174.58,1503202.38,5480239,3976984.57,1503254.43,470882.17,395719.25,75162.92
Lamoille,1,5,1123146.76,1039000.84,84145.92,368247,284100.95,84146.05,26322.07,22114.73,4207.34
Lanark,3,12,1771272.21,1632688.31,138583.9,609212,470628.1,138583.9,43550.63,36621.38,6929.25
