All Municipality Totals,,,,,,,,,,,
January 2019 - November 2019,,,,,,,,,,,
Report Date: 12/18/2019 20:59 PM,,,,,,,,,,,
Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Basco,1,3,1400635.97,1285215.74,115420.23,478297,362876.61,115420.39,36160.29,30389.25,5771.04
Batavia,7,35,18680006.87,17207625.78,1472381.09,5818118,4345670.66,1472447.34,462826.55,389203.99,73622.56
Batchtown,1,5,1148122.95,1051760.94,96362.01,325481,229118.39,96362.61,30428.7,25610.56,4818.14
Bath,3,10,1773891.15,1625991.51,147899.64,592637,444737.21,147899.79,46429.14,39034.18,7394.96
Bay View Gardens,1,5,1063985.86,971339.12,92646.74,381230,288572.26,92657.74,29070.76,24437.83,4632.93
Beach Park,6,27,19727749.3,18041397.52,1686351.78,7033361,5346965.77,1686395.23,526785.04,442465.05,84319.99
Beardstown,12,55,23103729.32,21173666.5,1930062.82,6848836,4918727.24,1930108.76,605903.44,509397.71,96505.73
Beaverville,2,5,1446247.95,1375396.6,70851.35,487703,416850.9,70852.1,23619.13,20076.49,3542.64
Beckemeyer,2,10,6640395.27,6137822.76,502572.51,2154242,1651656.05,502585.95,157671.04,132541.65,25129.39
Bedford Park,8,39,43496559.73,39879244.22,3617315.51,14347687,10729622.12,3618064.88,1137797.74,956894.32,180903.42
Beecher,9,40,15969499.87,14652728.43,1316771.44,5251742,3934961.92,1316780.08,412514.35,346675.15,65839.2
Belgium,2,9,6276357.22,5785593.23,490763.99,2023609,1532844.01,490764.99,153074.73,128536.38,24538.35
Belleville,35,161,70553513.88,64861902,5691611.88,23197712,17505850.27,5691861.73,1783266.04,1498672.05,284593.99
Bellevue,4,20,8080256.54,7418576.25,661680.29,2671951,2010270.71,661680.29,208249.23,175165.1,33084.13
Bellwood,2,8,3194584.63,2912393.92,282190.71,1087564,805373.29,282190.71,88100,73990.43,14109.57
Belvidere,30,148,81844199.58,74930611.17,6913588.41,26576262,19662457.94,6913804.06,2168513.4,1822822.04,345691.36
Bement,4,18,5208092.83,4796330.79,411762.04,1724786,1312963.22,411822.78,129270.86,108679.62,20591.24
Benld,4,19,4270112.01,3904556.32,365555.69,1421788,1056232.64,365555.36,114816.22,96538.35,18277.87
Bensenville,9,41,26863892.43,24617520.59,2246371.84,8736832,6490458.54,2246373.46,704782.24,592463.35,112318.89
Benson,1,4,1684812.25,1561944.08,122868.17,483756,360887.73,122868.27,38267.05,32123.63,6143.42
Benton,13,61,20049911.79,18413176.35,1636735.44,6227024,4590261.6,1636762.4,512588.46,430749.85,81838.61
Berkeley,6,30,23062233.61,21084875.07,1977358.54,7248840,5271430.01,1977409.99,619064.87,520194.02,98870.85
Berwyn,58,268,151388590.1,138468023.6,12920566.56,52273707,39353017.7,12920689.3,4050814.27,3404778.08,646036.19
Bethalto,5,24,9798239.86,8986682.64,811557.22,3120738,2309180.79,811557.21,254723.95,214145.93,40578.02
Bethany,2,9,1099287.07,1008101.31,91185.76,396484,305298.24,91185.76,28866.15,24306.86,4559.29
Big Rock,1,4,1448142.68,1322181.18,125961.5,474258,348296.4,125961.6,39420.37,33122.24,6298.13
Bishop Hill,1,3,802266.56,742334.3,59932.26,246295,186362.94,59932.06,18917.25,15920.65,2996.6
Blandinsville,3,9,2433936.12,2246407.52,187528.6,709072,521543.4,187528.6,58721.34,49344.87,9376.47
Bloomingdale,6,26,13988110.07,12873174.17,1114935.9,4714288,3599116.69,1115171.31,350725.28,294966.53,55758.75
Bloomington,58,271,184950514.7,169796316,15154198.66,59313831,44159462.25,15154368.75,4749559.3,3991839.05,757720.25
Blue Island,32,152,77625423.2,71119453.55,6505969.65,26943597,20437454.02,6506142.98,2040338.75,1715030.55,325308.2
Blue Mound,2,10,3423610.63,3132889.14,290721.49,1211328,920606.58,290721.42,90993.46,76457.36,14536.1
Bluffs,1,5,3152255.31,2887741.5,264513.81,962540,698024.1,264515.9,82797.09,69571.29,13225.8
Bond County,2,8,737702.49,670853.35,66849.14,251837,184987.86,66849.14,21251.29,17908.85,3342.44
Boone County,7,31,13772328.8,12545182.55,1227146.25,4548990,3321844.74,1227145.26,384381.88,323024.32,61357.56
Bourbonnais,5,23,9451600.91,8675958.67,775642.24,3712254,2936611.63,775642.37,243594.13,204811.94,38782.19
Bowen,3,10,483507.28,440096.28,43411,147045,103633.93,43411.07,13902.26,11735.2,2167.06
Braceville,1,5,1674720.78,1530453.21,144267.57,482295,338027.08,144267.92,45201.35,37987.96,7213.39
Bradford,3,12,2078812.46,1916492.57,162319.89,681642,519322.13,162319.87,51220.05,43104.01,8116.04
Bradley,20,93,62336697.69,57278234.11,5058463.58,20477558,15418393.62,5059164.38,1586798.69,1333839.95,252958.74
